,ts,px,py,pz,rw,rx,ry,rz
0,0.0,660.5287024053697,403.99184611161047,-3.5679849261237857,-0.7750232087152148,-0.01207868291741511,-0.006347096279427658,0.6317854372068689
1,0.01,660.5286940849055,403.9918000716863,-3.5680698522475693,-0.7750281867753608,-0.012072985823275598,-0.006343950410492922,0.6317794322845495
2,0.02,660.5286857644413,403.99175403176224,-3.568154778371354,-0.7750366266715787,-0.012076502828511816,-0.006338823752005877,0.6317690529233863
3,0.03,660.5286774439774,403.99170799183815,-3.568239704495137,-0.7750423169618956,-0.0120848018018374,-0.006333504793329659,0.6317620565650486
4,0.04,660.5286691235133,403.991661951914,-3.5683246306189216,-0.7750443190138933,-0.012095574448907,-0.006324888787398282,0.6317594479216966
5,0.05,660.5286608030492,403.9916159119898,-3.5684095567427057,-0.7750460890961738,-0.0121029869179106,-0.006319107520032253,0.6317571749624009
6,0.06,660.5286524825851,403.99156987206584,-3.5684944828664897,-0.7750534053429454,-0.01210619684344285,-0.006312161973665182,0.6317482405675169
7,0.07,660.5286441621209,403.99152383214164,-3.5685794089902743,-0.7750635589241143,-0.01210770560202018,-0.006305913452041613,0.6317359187689452
8,0.08,660.528635841657,403.9914777922176,-3.5686643351140583,-0.7750696673255406,-0.012108469924236852,-0.00630021542699837,0.6317284582433852
9,0.09,660.5286275211929,403.9914317522934,-3.568749261237842,-0.7750733825711059,-0.012108226575490644,-0.006293906155486189,0.6317238904699123
10,0.1,660.5286192007287,403.9913857123693,-3.5688341873616256,-0.7750769431316287,-0.012116493481092987,-0.006298622345444169,0.631719286851642
11,0.11,660.5286108802648,403.99133967244524,-3.5689191134854097,-0.7750806458875589,-0.012125953161938444,-0.006313398573821977,0.6317144551945356
12,0.12,660.5286025598007,403.99129363252115,-3.5690040396091938,-0.775081419724386,-0.012121963263792522,-0.00632602613136917,0.6317134233808207
13,0.13,660.5285942393366,403.99124759259695,-3.569088965732978,-0.7750794106086016,-0.012124474178943951,-0.006330016856513554,0.6317157227757684
14,0.14,660.5285859188726,403.99120155267286,-3.5691738918567615,-0.7750789783801859,-0.012139733689527036,-0.006328265801995126,0.6317159225211275
15,0.15,660.5285775984087,403.9911555127488,-3.5692588179805464,-0.7750805780766858,-0.012153261314198891,-0.006328644498975954,0.6317137911440479
16,0.16,660.5285692779445,403.99110947282463,-3.5693437441043296,-0.7750805756308322,-0.01215747242238584,-0.006327572601258657,0.6317137935899015
17,0.17,660.5285609574804,403.99106343290055,-3.5694286702281137,-0.7750845827641866,-0.012162494737874105,-0.006330296374346134,0.6317087350846218
18,0.18,660.5285526370162,403.9910173929764,-3.569513596351898,-0.7750888975855216,-0.012171529958722043,-0.0063337300354969,0.6317033230547073
19,0.19,660.5285443165523,403.9909713530523,-3.569598522475682,-0.7750917253034596,-0.012179528502856177,-0.006329852817371433,0.6316997622041105
20,0.2,660.5285359960883,403.99092531312823,-3.569683448599466,-0.775092980238245,-0.012185242416638162,-0.006326726919551791,0.6316981179498213
21,0.21,660.5285276756241,403.99087927320414,-3.5697683747232505,-0.7750912788919059,-0.012185311533261665,-0.006333248076199788,0.6317001492437655
22,0.22,660.52851935516,403.99083323328006,-3.5698533008470337,-0.7750966979813932,-0.01217763968388599,-0.006339018954071404,0.6316935193004294
23,0.23,660.528511034696,403.9907871933559,-3.5699382269708178,-0.7751043505070788,-0.012170908743007304,-0.006342606141571448,0.6316842068184003
24,0.24,660.5285027142319,403.9907411534317,-3.5700231530946023,-0.7751066156858635,-0.01216969685804322,-0.006345423554144093,0.6316814300172588
25,0.25,660.5284943937678,403.9906951135076,-3.5701080792183864,-0.7751114045545466,-0.012169032618497295,-0.006346959348105668,0.631675492633197
26,0.26,660.5284860733037,403.99064907358354,-3.57019300534217,-0.7751192756781745,-0.012158601717770006,-0.0063542671485891005,0.6316659579752943
27,0.27,660.5284777528396,403.99060303365934,-3.5702779314659536,-0.7751239093594601,-0.012154990200935335,-0.0063575503910679905,0.6316603595242151
28,0.28,660.5284694323757,403.99055699373525,-3.570362857589738,-0.7751264246590182,-0.012164268049159585,-0.0063603939505226074,0.6316570396166524
