,ts,px,py,pz,rw,rx,ry,rz
0,0.0,-0.075323,1.7606,1.3007,0.7255699999999999,-0.17247,-0.19405999999999998,0.6372899999999999
1,0.01,-0.06450800000000001,1.7638,1.3012,0.7275699999999999,-0.17276,-0.19397999999999999,0.63495
2,0.02,-0.053617,1.7675,1.3016,0.72934,-0.1731,-0.19229000000000002,0.63335
3,0.03,-0.042559,1.7714,1.3017,0.7308399999999999,-0.1755,-0.19119,0.6312800000000001
4,0.04,-0.031376,1.7758,1.3015,0.73163,-0.17678,-0.18909,0.63064
5,0.05,-0.019949,1.7803,1.3011,0.7326199999999999,-0.1784,-0.18799000000000002,0.62936
6,0.06,-0.008405,1.7854,1.3005,0.7328399999999999,-0.17909,-0.18758,0.6290399999999999
7,0.07,0.0035153,1.7908,1.2996,0.73228,-0.17998,-0.1874,0.62949
8,0.08,0.015418000000000001,1.7968,1.2983,0.73201,-0.1803,-0.18734,0.62972
9,0.09,0.027585000000000002,1.8030000000000002,1.2968,0.73182,-0.18006,-0.18592,0.63044
10,0.1,0.039954,1.81,1.2948,0.73115,-0.18003,-0.18447,0.63165
11,0.11,0.052519,1.8169,1.2928,0.731,-0.18070999999999998,-0.18329,0.63197
12,0.12,0.065175,1.8244,1.2904,0.731,-0.17962,-0.18206,0.63263
13,0.13,0.077942,1.8319999999999999,1.2881,0.73075,-0.17864000000000002,-0.18232,0.63313
14,0.14,0.090697,1.8397,1.2854,0.73146,-0.17664000000000002,-0.18218,0.6329100000000001
15,0.15,0.10364000000000001,1.8478,1.2826,0.73124,-0.17367,-0.18381,0.63351
16,0.16,0.11660999999999999,1.8559999999999999,1.28,0.73109,-0.16958,-0.18589,0.6341899999999999
17,0.17,0.12942,1.8643,1.2772,0.7307,-0.16457,-0.18899999999999997,0.6350399999999999
18,0.18,0.14221,1.8732,1.2745,0.72943,-0.16009,-0.19150999999999999,0.63689
19,0.19,0.15478,1.8822,1.2718,0.72714,-0.15807000000000002,-0.19627,0.63856
20,0.2,0.16708,1.8916,1.2696,0.72443,-0.15583,-0.20102,0.64071
21,0.21,0.17922000000000002,1.901,1.2677,0.7208,-0.15705999999999998,-0.20747,0.64245
22,0.22,0.19127,1.9107,1.266,0.71749,-0.15865,-0.2123,0.64418
23,0.23,0.2032,1.9202,1.2647,0.71404,-0.16348,-0.21731,0.64513
24,0.24,0.21516,1.9298,1.2634,0.71129,-0.16902,-0.22111999999999998,0.64545
25,0.25,0.22719,1.9394,1.2624,0.7096100000000001,-0.17488,-0.22298,0.6451
26,0.26,0.23956999999999998,1.9492,1.2613,0.7086899999999999,-0.17865,-0.2211,0.64572
27,0.27,0.25183,1.9586,1.2606,0.70794,-0.18073,-0.22044,0.6461899999999999
28,0.28,0.26428,1.9681,1.26,0.70703,-0.18159,-0.21781,0.64784
29,0.29,0.27653,1.9775,1.2597,0.70633,-0.17943,-0.21495999999999998,0.65015
30,0.3,0.2889,1.9867,1.2596,0.70502,-0.17679,-0.21199,0.65327
31,0.31,0.30103,1.9958,1.2599,0.70467,-0.17182999999999998,-0.20800000000000002,0.6562399999999999
32,0.32,0.31303000000000003,2.0046,1.2607,0.70405,-0.16689,-0.20481,0.65918
33,0.33,0.32461999999999996,2.013,1.2619,0.70349,-0.16104000000000002,-0.20268,0.66189
34,0.34,0.33603,2.0207,1.2634,0.70315,-0.1564,-0.20242000000000002,0.6634399999999999
35,0.35,0.34733,2.0283,1.2654,0.70329,-0.15175,-0.20365999999999998,0.66399
36,0.36,0.35835,2.0357,1.2674,0.70362,-0.14748,-0.2034,0.66468
37,0.37,0.36954000000000004,2.0431,1.2696,0.70313,-0.14477,-0.20426,0.66552
38,0.38,0.38059,2.0503,1.2716,0.7037800000000001,-0.14253,-0.20357999999999998,0.6655300000000001
39,0.39,0.39179,2.0577,1.2735,0.70452,-0.14174,-0.20254,0.6652399999999999
40,0.4,0.40317,2.0648,1.2753,0.70554,-0.14434,-0.20016,0.6643100000000001
41,0.41,0.41448,2.0721,1.2767,0.7076,-0.14743,-0.1956,0.66281
42,0.42,0.42586,2.0792,1.278,0.70987,-0.14998,-0.18995,0.66145
43,0.43,0.43714,2.0864,1.2790000000000001,0.71165,-0.15278,-0.1853,0.6602100000000001
44,0.44,0.44871000000000005,2.0936,1.2797,0.71292,-0.15215,-0.1806,0.6602899999999999
45,0.45,0.46013000000000004,2.1007,1.28,0.71334,-0.15142,-0.17744000000000001,0.66086
46,0.46,0.47147,2.1078,1.28,0.71346,-0.14682,-0.17478,0.66247
47,0.47,0.48295,2.1147,1.2798,0.71337,-0.14122,-0.17282999999999998,0.6643
48,0.48,0.49433999999999995,2.1215,1.2793,0.7124699999999999,-0.1359,-0.17001,0.66709
49,0.49,0.50573,2.1281,1.2789,0.71225,-0.13016,-0.16666,0.66932
50,0.5,0.5170600000000001,2.1344,1.2784,0.71136,-0.12715,-0.16413,0.67147
51,0.51,0.52815,2.1402,1.2783,0.71107,-0.12523,-0.1631,0.67238
52,0.52,0.5391600000000001,2.1456,1.2785,0.71091,-0.12555999999999998,-0.16272999999999999,0.6725800000000001
53,0.53,0.55001,2.1505,1.2788,0.7107600000000001,-0.12872999999999998,-0.1644,0.67172
