,ts,ax,ay,az,wx,wy,wz
0,0.0,-0.14482,-0.027016000000000002,-0.20457999999999998,-1.9608,-0.18677,-0.73505
1,0.01,-0.14140999999999998,-0.042911000000000005,-0.14286,-1.9249,0.12500999999999998,-0.5935699999999999
2,0.02,-0.11348,-0.049654000000000004,-0.080095,-1.6984,0.24449,-0.46103
3,0.03,-0.073357,-0.050875,-0.028058999999999997,-1.3519,0.14456,-0.36205
4,0.04,-0.017901,-0.056173,-0.002327,-0.9779100000000001,-0.16438,-0.32884
5,0.05,0.029464999999999998,-0.042772000000000004,0.003382,-0.67572,-0.56216,-0.37351
6,0.06,0.050739,-0.01234,0.009948,-0.47436999999999996,-0.92815,-0.47285
7,0.07,0.06277100000000001,0.007701,0.025065999999999998,-0.3806,-1.1643,-0.61424
8,0.08,0.06815299999999999,0.028408999999999997,0.038756,-0.38687,-1.2504,-0.7763399999999999
9,0.09,0.0756,0.059864999999999995,0.060946,-0.45805,-1.1878,-0.9505600000000001
10,0.1,0.10267000000000001,0.066771,0.08300199999999999,-0.5618,-1.0514,-1.109
11,0.11,0.12365,0.018972,0.088787,-0.6784600000000001,-0.8820399999999999,-1.1916
12,0.12,0.13622,-0.034899,0.12109,-0.7355,-0.6791,-1.1964
13,0.13,0.16326,-0.057340999999999996,0.17876,-0.67332,-0.48783999999999994,-1.1635
14,0.14,0.19397,-0.063876,0.22436,-0.51263,-0.37306,-1.1111
15,0.15,0.22041,-0.06969700000000001,0.25006,-0.28357,-0.37608,-1.0488
16,0.16,0.24525999999999998,-0.075173,0.26316,-0.022306,-0.49656999999999996,-0.9979899999999999
17,0.17,0.26413000000000003,-0.069493,0.25968,0.22335,-0.72132,-0.9822299999999999
18,0.18,0.26946,-0.053195000000000006,0.23337,0.42271000000000003,-1.0266,-1.0144
19,0.19,0.25439,-0.046481,0.20484000000000002,0.56506,-1.276,-1.0746
20,0.2,0.21721,-0.031695999999999995,0.19365,0.6846800000000001,-1.3131,-1.1618
21,0.21,0.16827,-0.013669999999999998,0.19946,0.82673,-1.0894,-1.2602
22,0.22,0.097664,0.002225,0.19977,0.97716,-0.71972,-1.3086
23,0.23,0.036436,0.010846,0.17585,1.1127,-0.30421,-1.2888
24,0.24,-0.008487999999999999,0.015241999999999999,0.17033,1.2607,0.10687,-1.205
25,0.25,-0.031599,0.049242,0.17857,1.4486,0.44088999999999995,-1.1198
26,0.26,-0.013000999999999999,0.10670999999999999,0.15617999999999999,1.6404,0.55865,-1.1079999999999999
27,0.27,0.057266,0.09399,0.05924,1.732,0.36829,-1.1715
28,0.28,0.10599000000000001,0.007826000000000001,-0.082725,1.6703,-0.043536,-1.2243
29,0.29,0.1089,-0.074657,-0.19235,1.4796,-0.4245,-1.2378
30,0.3,0.077532,-0.090577,-0.24391,1.2229,-0.61422,-1.2144
31,0.31,-0.008119,-0.023984000000000002,-0.26098000000000005,0.91919,-0.52442,-1.1351
32,0.32,-0.078293,0.046288,-0.25905,0.60014,-0.19902999999999998,-1.0337
33,0.33,-0.06285299999999999,0.042983,-0.24058000000000002,0.27917,0.2724,-0.9572
34,0.34,-0.007382,-0.039277,-0.23624,-0.044837,0.63515,-0.87087
35,0.35,0.019136,-0.14187,-0.28315999999999997,-0.41768999999999995,0.66046,-0.7328
36,0.36,0.026423000000000002,-0.21584,-0.35362,-0.82967,0.33975,-0.57711
37,0.37,0.010864,-0.27054,-0.4015,-1.2232,-0.084457,-0.44255
38,0.38,-0.033777999999999996,-0.2914,-0.3888,-1.4903,-0.35833000000000004,-0.36780999999999997
39,0.39,-0.076181,-0.27345,-0.3305,-1.5758,-0.3768,-0.36579
40,0.4,-0.12511,-0.23826999999999998,-0.27218000000000003,-1.5135,-0.21104,-0.40867
41,0.41,-0.16000999999999999,-0.19547,-0.21986999999999998,-1.3483,-0.005602,-0.47493
42,0.42,-0.16673,-0.17257999999999998,-0.18495999999999999,-1.1558,0.13141,-0.54528
43,0.43,-0.14958,-0.16455999999999998,-0.15764,-0.96545,0.14483,-0.61756
44,0.44,-0.13602,-0.16489,-0.12021,-0.7771399999999999,0.038926999999999996,-0.6832199999999999
45,0.45,-0.13624,-0.16075,-0.063436,-0.57315,-0.10761,-0.74345
46,0.46,-0.16002,-0.13954,0.002008,-0.33008000000000004,-0.28434,-0.77474
47,0.47,-0.19487000000000002,-0.11875999999999999,0.050413,-0.079868,-0.4846,-0.77823
48,0.48,-0.22565,-0.09462999999999999,0.072288,0.15172,-0.73375,-0.7592399999999999
49,0.49,-0.27958,-0.060320000000000006,0.073742,0.3181,-0.97919,-0.71155
50,0.5,-0.33960999999999997,-0.015024000000000001,0.07471,0.4264,-1.1527,-0.67157
51,0.51,-0.38977,0.039749,0.077968,0.47185,-1.2075,-0.6735300000000001
52,0.52,-0.45021000000000005,0.09904,0.064662,0.44588999999999995,-1.1465,-0.71958
53,0.53,-0.5091399999999999,0.1587,0.042329000000000006,0.36446,-0.9826600000000001,-0.81607
54,0.54,-0.5687800000000001,0.23437,0.0093,0.23813,-0.72147,-0.95231
55,0.55,-0.5687800000000001,0.23437,0.0093,0.23813,-0.72147,-0.95231
56,0.56,-0.63984,0.38161,-0.012318,0.10870999999999999,-0.15744,-1.2695
57,0.57,-0.68293,0.41276999999999997,-0.029657,0.14855,-0.017041,-1.3316
58,0.58,-0.60511,0.31777,-0.007468000000000001,0.14003,-0.41999,-1.1227
59,0.59,-0.7832,0.43049,-0.033727,0.51836,-0.062942,-1.1078
60,0.6,-0.85531,0.46311,-0.035851999999999995,0.8208799999999999,-0.21172,-0.81771
