,ts,ax,ay,az,wx,wy,wz
0,0.0,0.022118000000000002,-0.021277,0.048061,-0.0009609999999999999,-0.00033599999999999993,-0.00042700000000000013
1,0.01,0.005703,0.006776999999999999,-0.026086,-0.0009609999999999999,0.001801,-0.005753
2,0.02,-0.019427,0.011694,-0.040991,-0.003098,-0.001389,-0.0025629999999999997
3,0.03,-0.002239,0.011662,-0.039295,-0.008423,-0.002457,-0.003632
4,0.04,-0.021876,0.026782999999999998,-0.039337000000000004,-0.008423,-0.006714,-0.003632
5,0.05,-0.025471,0.085092,-0.024306999999999995,-0.011627,-0.00885,-0.0025629999999999997
6,0.06,-0.033338,0.069472,-0.018219,-0.011627,-0.005661,-0.0004269999999999999
7,0.07,-0.008998000000000003,0.050682,0.01551,-0.014816,-0.001389,-0.001495
8,0.08,-0.004674,-0.0044420000000000015,0.006431999999999999,-0.018005,0.0039369999999999995,0.0006259999999999999
9,0.09,0.00774,-0.046116000000000004,0.025559000000000002,-0.022278,0.000732,-0.00042700000000000013
10,0.1,-0.003972,-0.080581,-0.016605,-0.023331,-0.001389,-0.003632
11,0.11,-0.000196,-0.036017,0.04514399999999999,-0.025467,-0.006714,-0.0025629999999999997
12,0.12,-0.010056,0.013297999999999999,0.0578,-0.028671,-0.013106999999999999,-0.0025629999999999997
13,0.13,-0.025146,0.023956,0.057687,-0.026535000000000003,-0.007781999999999999,-0.001495
14,0.14,-0.002077,0.005825,-0.0005329999999999989,-0.023331,-0.00885,0.002762
15,0.15,0.0013420000000000005,-0.020685,-0.001456,-0.022278,-0.007781999999999999,0.0016940000000000002
16,0.16,-0.007932999999999999,-0.036364,-0.045044,-0.018005,-0.0013890000000000007,0.002762
17,0.17,0.032369999999999996,0.0033799999999999998,-0.032805,-0.019073,-0.000336,-0.0004270000000000003
18,0.18,0.008975,-0.040644,-0.019454,-0.022278,0.001801,-0.00042699999999999997
19,0.19,0.017961,-0.004876000000000003,-0.048692,-0.024399,0.002869,0.0006259999999999999
20,0.2,0.0020859999999999997,-0.02648,-0.0030139999999999963,-0.024399,0.006058,-0.003632
21,0.21,0.008705,-0.008838,0.022462,-0.024399,0.007126,-0.001495
22,0.22,0.045551,0.008012,0.053958000000000006,-0.024399,0.007126,-0.003632
23,0.23,0.04292,0.025223,0.02434,-0.020142,0.007126,-0.003632
24,0.24,0.013527000000000004,0.042658,0.014485,-0.018005,0.007126,-0.005753
