,ts,px,py,pz,rw,rx,ry,rz
0,0.0,-0.002684,0.105574,0.027299,0.7362390000000001,0.6757380000000001,-0.020967,0.029835000000000004
1,0.01,-0.002963,0.106276,0.027279,0.736189,0.675793,-0.020949000000000002,0.02985
2,0.02,-0.00324,0.10694000000000001,0.027259,0.736138,0.675849,-0.02093,0.029856
3,0.03,-0.003517,0.107606,0.027239999999999997,0.7360869999999999,0.675905,-0.020924,0.029848000000000003
4,0.04,-0.0037920000000000002,0.108271,0.027221,0.736038,0.675959,-0.020924,0.029835000000000004
5,0.05,-0.004067,0.10894000000000001,0.027202999999999998,0.735996,0.676005,-0.020936,0.029823000000000002
6,0.06,-0.00434,0.10961199999999999,0.027185,0.7359600000000001,0.6760430000000001,-0.020936,0.029833999999999996
7,0.07,-0.004612,0.11028900000000001,0.027167,0.73593,0.676076,-0.020912,0.029861000000000002
8,0.08,-0.004886,0.11096800000000001,0.027148000000000002,0.7359060000000001,0.6761010000000001,-0.020878999999999998,0.029902999999999996
9,0.09,-0.005164,0.111654,0.027127,0.735884,0.676124,-0.02085,0.029948000000000002
10,0.1,-0.005442,0.11234000000000001,0.027101999999999998,0.735855,0.676154,-0.020832,0.02999
11,0.11,-0.005861,0.113371,0.027061,0.7357859999999999,0.6762279999999999,-0.020833,0.030014999999999997
12,0.12,-0.00613,0.11395699999999999,0.027031,0.735714,0.676305,-0.020865,0.030023
13,0.13,-0.0063950000000000005,0.11454,0.027002999999999996,0.735635,0.676389,-0.020899,0.03003
14,0.14,-0.006659999999999999,0.115123,0.026976,0.735571,0.676458,-0.020935,0.030027999999999996
15,0.15,-0.006924,0.11570599999999999,0.026951,0.735507,0.676527,-0.02096,0.030033999999999998
16,0.16,-0.007186,0.11628599999999999,0.026929,0.7354470000000001,0.6765909999999999,-0.02097,0.030039999999999997
17,0.17,-0.007448000000000001,0.11686700000000001,0.026906,0.7353810000000001,0.676663,-0.020952000000000002,0.030049
18,0.18,-0.00771,0.117448,0.026881,0.735306,0.6767449999999999,-0.020933,0.030061
19,0.19,-0.007970999999999999,0.11803,0.026856,0.735228,0.676829,-0.020912,0.030073000000000003
20,0.2,-0.008234,0.11861500000000001,0.026831,0.735157,0.676906,-0.020906,0.030085
21,0.21,-0.008495,0.119181,0.026799,0.735088,0.67698,-0.020904,0.030102999999999998
22,0.22,-0.008756,0.119729,0.026761,0.735006,0.677068,-0.020913,0.030126
23,0.23,-0.009019,0.120277,0.026725,0.7349060000000001,0.677175,-0.020927,0.030154000000000004
24,0.24,-0.009281999999999999,0.120822,0.026691000000000003,0.734798,0.67729,-0.020954,0.030170999999999996
25,0.25,-0.009547,0.121369,0.026657,0.734685,0.677412,-0.020988,0.030185000000000003
26,0.26,-0.009812999999999999,0.12191600000000001,0.026622000000000003,0.734582,0.6775220000000001,-0.021039,0.030186
27,0.27,-0.010078,0.12246800000000001,0.026583999999999997,0.73449,0.677619,-0.021100999999999998,0.030185000000000003
28,0.28,-0.010343999999999999,0.123024,0.026543999999999998,0.734409,0.677705,-0.021161000000000003,0.030186
29,0.29,-0.010611,0.12358699999999999,0.026501,0.734333,0.677786,-0.021219,0.030185000000000003
30,0.3,-0.010879,0.124153,0.026455000000000003,0.734254,0.67787,-0.021276,0.030186
31,0.31,-0.011125,0.12468599999999999,0.026414999999999998,0.734176,0.677952,-0.021321,0.030188999999999997
32,0.32,-0.011347,0.12517899999999998,0.02638,0.734101,0.678032,-0.021368,0.030191000000000003
33,0.33,-0.011568,0.125675,0.026344,0.734035,0.678103,-0.021411000000000003,0.030188
