,ts,px,py,pz,rw,rx,ry,rz
0,0.0,0.024437,-0.08527799999999999,0.020583,0.853857,0.5203810000000001,-0.008985,-0.007156
1,0.01,0.024557,-0.085471,0.020567,0.8538549999999999,0.520385,-0.008944,-0.007111
2,0.02,0.024674,-0.085678,0.020544999999999997,0.8538030000000001,0.520474,-0.008832,-0.007026999999999999
3,0.03,0.02479,-0.085896,0.020515000000000002,0.853718,0.520616,-0.00869,-0.0069700000000000005
4,0.04,0.024909999999999998,-0.086119,0.020474000000000003,0.8536229999999999,0.520774,-0.008544,-0.006963
5,0.05,0.025031,-0.086341,0.020426,0.853532,0.520926,-0.008412000000000001,-0.006993000000000001
6,0.06,0.02515,-0.08655399999999999,0.020377000000000003,0.853448,0.521065,-0.008325,-0.006981
7,0.07,0.025263,-0.086751,0.020334,0.853392,0.521158,-0.008314,-0.006894
8,0.08,0.025373,-0.08692899999999999,0.020299,0.8533879999999999,0.521166,-0.008347,-0.006742000000000001
9,0.09,0.025419,-0.086977,0.020291999999999998,0.853455,0.521058,-0.008409,-0.006551
10,0.1,0.025462000000000002,-0.087009,0.02029,0.853577,0.520858,-0.008475,-0.006399
11,0.11,0.025502,-0.087035,0.020291999999999998,0.853733,0.520602,-0.008565999999999999,-0.006285
12,0.12,0.025536,-0.08706,0.020296,0.8538870000000001,0.520349,-0.008721,-0.006168
13,0.13,0.025565,-0.087087,0.020303,0.854008,0.5201479999999999,-0.008955,-0.006044
14,0.14,0.025592,-0.087122,0.020314,0.854086,0.5200170000000001,-0.009253,-0.00591
15,0.15,0.025624,-0.087172,0.020329,0.8541200000000001,0.5199560000000001,-0.009547,-0.005777
16,0.16,0.025668,-0.087239,0.020347999999999998,0.854126,0.519944,-0.009773,-0.005646
17,0.17,0.025729000000000002,-0.087324,0.02037,0.8541200000000001,0.519953,-0.009902,-0.005535
18,0.18,0.025814999999999998,-0.08743,0.020396,0.8541110000000001,0.519969,-0.009893,-0.0054340000000000005
19,0.19,0.025889999999999996,-0.087505,0.020419999999999997,0.8540969999999999,0.519993,-0.009821,-0.005358
20,0.2,0.025944,-0.087543,0.020444999999999998,0.854074,0.520033,-0.009762,-0.005334
21,0.21,0.026006,-0.08759299999999999,0.020472999999999998,0.854034,0.520098,-0.009744,-0.005343
22,0.22,0.026070999999999997,-0.087654,0.020505000000000002,0.853978,0.5201899999999999,-0.009783,-0.005392
23,0.23,0.026139999999999997,-0.087725,0.020541999999999998,0.8539049999999999,0.520307,-0.009853,-0.005447
24,0.24,0.026217,-0.087806,0.020585,0.853827,0.520433,-0.009931,-0.005502
25,0.25,0.026305000000000002,-0.087896,0.020634,0.8537370000000001,0.520578,-0.01001,-0.005587
26,0.26,0.026406,-0.08799,0.020687,0.853656,0.520709,-0.010058,-0.005686999999999999
27,0.27,0.026586000000000002,-0.08813700000000001,0.020774,0.853555,0.520874,-0.010034,-0.005862
28,0.28,0.026694,-0.08820399999999999,0.020821,0.853504,0.520957,-0.00996,-0.006005
29,0.29,0.026782999999999998,-0.088242,0.020858,0.85345,0.521046,-0.009842,-0.006159
30,0.3,0.026879000000000004,-0.088284,0.020898,0.853376,0.5211680000000001,-0.009667,-0.006296
31,0.31,0.026968000000000002,-0.088326,0.020938,0.853267,0.521349,-0.009453,-0.006369
32,0.32,0.027039999999999998,-0.088365,0.020975,0.8531290000000001,0.521579,-0.009256,-0.006367
33,0.33,0.027093,-0.088397,0.021006999999999998,0.852986,0.521816,-0.009152,-0.0063170000000000006
34,0.34,0.027127,-0.088418,0.021033,0.8528610000000001,0.522018,-0.009197,-0.006286
35,0.35,0.027149,-0.08843,0.021053,0.852793,0.522127,-0.00938,-0.006298
36,0.36,0.027166000000000003,-0.088438,0.021069,0.852775,0.522151,-0.009636,-0.006325
37,0.37,0.027183,-0.08844199999999999,0.021086,0.8527819999999999,0.522134,-0.009916,-0.006364
38,0.38,0.027201,-0.08844500000000001,0.021103999999999998,0.852814,0.522076,-0.010148,-0.006385
39,0.39,0.027222000000000003,-0.088449,0.021126,0.8528549999999999,0.5220060000000001,-0.010356,-0.006397
40,0.4,0.027238,-0.08845399999999999,0.021147,0.852883,0.5219560000000001,-0.010584,-0.006411
41,0.41,0.027250999999999997,-0.08845900000000001,0.021165,0.852885,0.521947,-0.010819,-0.0064069999999999995
42,0.42,0.027260000000000003,-0.088466,0.021182,0.852857,0.52199,-0.011013,-0.006389
