,ts,ax,ay,az,wx,wy,wz
0,0.0,-0.04274,-0.07292699999999999,0.135728,-0.0073549999999999996,-0.0024570000000000013,0.002762
1,0.01,-0.026124,-0.15348699999999998,0.140029,0.012878,0.020981,0.004898
2,0.02,0.011156000000000006,-0.15034,0.069502,0.028854,0.029495,-0.0014949999999999998
3,0.03,0.033426,-0.129873,-0.024875000000000005,0.038452,0.027374000000000002,-0.007889
4,0.04,0.02423,-0.048992,-0.062687,0.036316,0.022049000000000003,-0.020676
5,0.05,-0.050657000000000015,0.080955,-0.095301,0.035248,0.014587000000000001,-0.016418000000000002
6,0.06,-0.08037799999999999,0.162725,-0.122491,0.028854,0.012451,0.0038299999999999996
7,0.07,-0.027482,0.177573,-0.14968499999999998,0.013946999999999998,0.010329999999999999,0.02301
8,0.08,0.030744,0.188273,-0.19059700000000002,-0.008423,0.009262000000000001,0.035782
9,0.09,0.0793,0.156221,-0.121209,-0.033997,0.009262000000000001,0.035782
10,0.1,-0.017905000000000004,0.093553,-0.019854,-0.051041,0.0018009999999999996,0.028336
11,0.11,-0.105983,0.041358,0.11969500000000001,-0.059555,-0.005661,0.028336
12,0.12,-0.150077,-0.004042999999999998,0.195438,-0.048904,-0.021637,0.038986
13,0.13,-0.10740799999999999,-0.023316,0.211774,-0.038254,-0.034424,0.051758000000000005
14,0.14,0.008705999999999998,-0.044166000000000004,0.17355,-0.022278,-0.042938,0.056029999999999996
15,0.15,0.094446,-0.055841999999999996,0.122673,-0.005234,-0.033356,0.050705
16,0.16,0.18123,-0.04774,0.059748,0.0022280000000000004,-0.023758,0.041107
17,0.17,0.164645,-0.065984,0.05322,0.005431999999999999,-0.0013889999999999994,0.025131
18,0.18,0.110651,-0.033527,0.0616,0.005432,0.019913,0.010223000000000001
19,0.19,0.053929,-0.061725,0.15349300000000002,0.007553,0.014587000000000001,-0.0004270000000000003
20,0.2,-0.014130000000000002,-0.068647,0.152647,0.013947,0.008194,-0.003632
21,0.21,-0.033169,-0.015102999999999997,0.121278,0.022476,-0.006714,-0.005753
22,0.22,-0.025157,-0.016663999999999998,0.083636,0.028854,-0.019500999999999998,-0.005753
23,0.23,0.04141700000000001,-0.021969,0.088043,0.033127,-0.019500999999999998,-0.0014949999999999998
24,0.24,0.049421,0.019171,0.025918,0.037384,-0.022705,-0.005753
25,0.25,0.088413,-0.007659999999999999,-0.020250999999999998,0.036316,-0.023758,-0.010025
26,0.26,0.10323199999999999,0.008698000000000001,-0.041177000000000005,0.027801999999999997,-0.016312,-0.01535
27,0.27,0.089555,-0.027601999999999998,-0.027143,0.023528999999999998,-0.006714,-0.029189999999999997
