,ts,px,py,pz,rw,rx,ry,rz
0,0.0,-0.022854,-0.012325,-0.011253,0.679008,0.719147,0.135729,-0.05791
1,0.01,-0.022908,-0.012323,-0.011276000000000001,0.679059,0.719082,0.13584100000000002,-0.057846
2,0.02,-0.022978,-0.012320999999999999,-0.011309999999999999,0.679144,0.7189810000000001,0.135987,-0.05776900000000001
3,0.03,-0.023029,-0.012318,-0.011337,0.6792060000000001,0.71891,0.136074,-0.057725
4,0.04,-0.023073,-0.012314,-0.011362,0.679267,0.718839,0.136156,-0.05769
5,0.05,-0.023111000000000003,-0.012312,-0.011386,0.67932,0.718777,0.136234,-0.057659
6,0.06,-0.023144,-0.01231,-0.011409,0.679362,0.718725,0.13631300000000002,-0.057629999999999994
7,0.07,-0.023171999999999998,-0.012309,-0.011431,0.679398,0.7186779999999999,0.136397,-0.057590999999999996
8,0.08,-0.023196,-0.012308,-0.011453,0.679433,0.7186279999999999,0.136501,-0.057553
9,0.09,-0.023216999999999998,-0.012306999999999998,-0.011474,0.679476,0.7185699999999999,0.13660899999999998,-0.057503
10,0.1,-0.023237,-0.012306000000000001,-0.011493999999999999,0.679524,0.718511,0.136706,-0.057451999999999996
11,0.11,-0.023255,-0.012306000000000001,-0.011511,0.679575,0.718453,0.136784,-0.057380999999999995
12,0.12,-0.023272,-0.012305,-0.011526999999999999,0.6796300000000001,0.7183970000000001,0.136847,-0.057290999999999995
13,0.13,-0.023293,-0.012301000000000001,-0.01154,0.67967,0.718357,0.136902,-0.057187
14,0.14,-0.023313999999999998,-0.012298,-0.011554,0.679706,0.7183189999999999,0.136965,-0.057076
15,0.15,-0.023334999999999998,-0.012294,-0.011569,0.6797449999999999,0.718278,0.13703900000000002,-0.05695599999999999
16,0.16,-0.023356000000000002,-0.012289,-0.011584,0.679802,0.718214,0.13714200000000001,-0.056828
17,0.17,-0.023378,-0.012282,-0.0116,0.679869,0.718138,0.137272,-0.056683000000000004
18,0.18,-0.023399,-0.012275,-0.011617,0.679946,0.718052,0.137406,-0.05651900000000001
19,0.19,-0.023419,-0.012267,-0.011636,0.6800390000000001,0.717952,0.13754,-0.056347
20,0.2,-0.023438999999999998,-0.012259,-0.011656,0.68014,0.7178439999999999,0.137668,-0.056177
21,0.21,-0.023459,-0.01225,-0.011679,0.680245,0.717734,0.137791,-0.056014999999999995
22,0.22,-0.023477,-0.012241,-0.011701000000000001,0.680349,0.717626,0.137915,-0.055847
23,0.23,-0.023492,-0.012232,-0.011722,0.6804439999999999,0.7175239999999999,0.13803800000000002,-0.055686
24,0.24,-0.023505,-0.012223999999999999,-0.011743,0.680524,0.717435,0.13816099999999998,-0.055545000000000004
25,0.25,-0.023515,-0.012218000000000001,-0.011762,0.680589,0.7173619999999999,0.138266,-0.055433
26,0.26,-0.023523,-0.012213,-0.011778,0.680647,0.7172970000000001,0.13835999999999998,-0.055327
27,0.27,-0.023528999999999998,-0.012209000000000001,-0.011792,0.6807,0.7172350000000001,0.138459,-0.055236
28,0.28,-0.023533000000000002,-0.012206,-0.011805,0.6807380000000001,0.717187,0.13855399999999998,-0.055156
29,0.29,-0.023538,-0.012203,-0.011819,0.6807770000000001,0.717137,0.138652,-0.055078999999999996
30,0.3,-0.023541,-0.012199,-0.011831999999999999,0.68082,0.7170810000000001,0.13875,-0.055012
31,0.31,-0.023544,-0.012195000000000001,-0.011845,0.680869,0.71702,0.138852,-0.054955
32,0.32,-0.023546,-0.012191,-0.011856,0.68092,0.716955,0.138961,-0.054890999999999995
33,0.33,-0.023547,-0.012189,-0.011859999999999999,0.6809850000000001,0.7168770000000001,0.139073,-0.054824
34,0.34,-0.023547,-0.012187,-0.011864,0.681052,0.7167939999999999,0.1392,-0.054742
35,0.35,-0.023548,-0.012185,-0.011867,0.681117,0.716713,0.139346,-0.054638
36,0.36,-0.023548,-0.012184,-0.01187,0.681174,0.716637,0.139496,-0.054536
37,0.37,-0.023549,-0.012183,-0.011873,0.681229,0.716562,0.139652,-0.054437
38,0.38,-0.02355,-0.012183,-0.011875,0.681275,0.716495,0.139809,-0.054345000000000004
39,0.39,-0.02355,-0.012182,-0.011878,0.681319,0.716434,0.139935,-0.054263
40,0.4,-0.023551,-0.012181,-0.01188,0.681365,0.716374,0.140046,-0.054189
41,0.41,-0.023552,-0.012181,-0.011881999999999998,0.6814060000000001,0.716321,0.14014400000000002,-0.054125
42,0.42,-0.023552,-0.012181,-0.011883,0.6814359999999999,0.716279,0.140233,-0.054072
43,0.43,-0.023553,-0.012181,-0.011884,0.681467,0.716238,0.140309,-0.054028
44,0.44,-0.023554,-0.012181,-0.011885,0.681495,0.716202,0.14036500000000002,-0.05401
45,0.45,-0.023555,-0.01218,-0.011886,0.681531,0.716156,0.14041800000000002,-0.054024
46,0.46,-0.023555,-0.012181,-0.011887,0.681567,0.716112,0.140453,-0.054063
47,0.47,-0.023556,-0.012181,-0.011889,0.6815829999999999,0.716086,0.140484,-0.054127
48,0.48,-0.023556,-0.012182,-0.011890000000000001,0.681593,0.716062,0.140528,-0.0542
49,0.49,-0.023556999999999998,-0.012183,-0.011890999999999999,0.681604,0.7160350000000001,0.14058199999999998,-0.054277
50,0.5,-0.023558000000000003,-0.012184,-0.011893,0.681608,0.716013,0.140652,-0.054341999999999994
51,0.51,-0.023559,-0.012186,-0.011895000000000001,0.681621,0.7159800000000001,0.14073,-0.054402
52,0.52,-0.023561000000000002,-0.012187,-0.011897,0.6816409999999999,0.7159399999999999,0.140821,-0.054451
53,0.53,-0.023563999999999998,-0.012189,-0.0119,0.681668,0.715893,0.140914,-0.054488999999999996
54,0.54,-0.023566999999999998,-0.012190000000000001,-0.011903,0.681704,0.715839,0.141007,-0.054514
55,0.55,-0.023569999999999997,-0.012191,-0.011906,0.681742,0.715785,0.141095,-0.05451
56,0.56,-0.023573,-0.012192,-0.011908,0.681778,0.715735,0.141182,-0.05449
57,0.57,-0.023576,-0.012193,-0.011909999999999999,0.681805,0.715696,0.141271,-0.054449000000000004
58,0.58,-0.02358,-0.012194,-0.011913,0.681824,0.715663,0.14136300000000002,-0.054397
59,0.59,-0.023583,-0.012195000000000001,-0.011915,0.681847,0.715626,0.14146199999999998,-0.054334
60,0.6,-0.023586000000000003,-0.012195999999999999,-0.011917,0.68188,0.7155779999999999,0.141569,-0.054272
61,0.61,-0.023587999999999998,-0.012197,-0.011918999999999999,0.6819149999999999,0.715525,0.14169,-0.054211
62,0.62,-0.023591,-0.012198,-0.011921,0.68196,0.715461,0.141819,-0.054155999999999996
63,0.63,-0.023593,-0.012199,-0.011923,0.68201,0.715389,0.14196,-0.054116
64,0.64,-0.023594,-0.012201,-0.011925,0.682066,0.7153109999999999,0.142092,-0.054089
65,0.65,-0.023596000000000002,-0.012203,-0.011927,0.6821109999999999,0.7152470000000001,0.142202,-0.054082000000000005
66,0.66,-0.023597999999999997,-0.012205,-0.01193,0.682148,0.7151930000000001,0.142294,-0.054085
67,0.67,-0.0236,-0.012208,-0.011933,0.682171,0.7151569999999999,0.14236,-0.054089
