,ts,ax,ay,az,wx,wy,wz
0,0.0,0.035562,-0.005044,0.024927,-0.017822,0.025848000000000003,-0.008987
1,0.01,0.08056100000000001,0.004562,0.021025,-0.01889,0.020523,-0.006851
2,0.02,0.10664100000000001,-0.03135,0.024219,-0.01889,0.016266,-0.007918999999999999
3,0.03,0.083481,0.005807,0.007301999999999999,-0.01889,0.015198,-0.008987
4,0.04,0.06325499999999999,0.004319000000000003,0.0021030000000000024,-0.01889,0.013062,-0.008987
5,0.05,0.068825,0.004919,0.039305,-0.014633000000000002,0.014130000000000002,-0.008987
6,0.06,0.06761,-0.018747999999999997,0.011665000000000002,-0.013565,0.014130000000000002,-0.007918999999999999
7,0.07,0.092463,-0.025667000000000002,0.011742,-0.011444,0.017319,-0.007918999999999999
8,0.08,0.03988,-0.010961,-0.019864,-0.013565,0.020523,-0.012177
9,0.09,0.012196,0.007653,-0.009856,-0.015701,0.020523,-0.011124
10,0.1,-0.018234999999999998,0.050011,-0.008666999999999994,-0.01889,0.017319,-0.006851
11,0.11,-0.008388,0.04318,-0.019068,-0.016769,0.019455,0.0005949999999999996
12,0.12,-0.049244,0.025066,0.028132000000000004,-0.014633000000000002,0.020523,0.0037990000000000003
13,0.13,-0.010337,-0.0048550000000000025,0.013429,-0.012497,0.023712,0.004868
14,0.14,0.020466,-0.0113,-0.036902,-0.011444,0.025848000000000003,0.004868
15,0.15,0.030335999999999995,-0.008726999999999999,-0.052266999999999994,-0.016769,0.026917,0.004868
16,0.16,0.031344,-0.03297,-0.033932,-0.01889,0.034363,-0.0004580000000000001
17,0.17,0.043204,-0.021245,-0.011438000000000005,-0.025284,0.039702999999999995,-0.000458
18,0.18,0.046258,-0.025197999999999998,0.005197,-0.02742,0.040756,0.001663
19,0.19,0.036157999999999996,-0.05330700000000001,-0.007382,-0.030608999999999997,0.038635,0.001663
20,0.2,0.042183,-0.037413,-0.011099,-0.032744999999999996,0.037567,0.002731
21,0.21,0.051852999999999996,-0.028213,0.021061,-0.032744999999999996,0.038635,0.002731
22,0.22,0.04331,0.010935000000000002,0.006253,-0.031677,0.036499000000000004,0.0037990000000000003
23,0.23,0.088165,-0.031309,0.055773,-0.02742,0.037567,0.001663
24,0.24,0.043779000000000005,0.011237999999999998,0.054560000000000004,-0.023148,0.031174,-0.0004580000000000001
25,0.25,0.025174,0.064636,0.066804,-0.019958,0.026917,-0.000458
26,0.26,0.020988999999999997,0.025442,0.029376999999999997,-0.017822,0.025848000000000003,-0.0015259999999999994
27,0.27,0.027212,0.030458999999999993,-0.0023360000000000013,-0.016769,0.023712,-0.002594
28,0.28,0.019880000000000002,-0.017943999999999998,-0.004456000000000001,-0.016769,0.02478,-0.003662
29,0.29,0.032111,0.017050000000000003,-0.037876000000000014,-0.015701,0.021591,-0.003662
30,0.3,0.018481,0.048111,-0.018271000000000003,-0.01889,0.021591,-0.007918999999999999
31,0.31,0.046665,0.039762,-0.0002549999999999983,-0.01889,0.021591,-0.006851
32,0.32,0.004619,0.036026,-0.016893000000000002,-0.021027,0.02478,-0.008987
33,0.33,-0.003243,0.018178,0.032601,-0.022095,0.026917,-0.011124
34,0.34,-0.015396,0.0012369999999999985,0.013969000000000006,-0.023148,0.032242,-0.010056
35,0.35,-0.042279000000000004,0.022228000000000005,0.013132,-0.022095,0.037567,-0.008987
36,0.36,-0.030501,-0.026420999999999997,0.034562,-0.021027,0.036499000000000004,-0.011124
37,0.37,-0.034947000000000006,-0.011174,-0.026292000000000003,-0.022095,0.035431,-0.011124
38,0.38,-0.022294999999999995,0.008166,-0.013733,-0.019958,0.032242,-0.008987
39,0.39,-0.038610000000000005,0.031267,0.019675,-0.01889,0.025848000000000003,-0.006851
40,0.4,-0.006038000000000003,0.023575,0.044699,-0.01889,0.023712,-0.006851
41,0.41,-0.0014940000000000005,-0.0010100000000000005,0.05595599999999999,-0.014633000000000002,0.020523,-0.005783
42,0.42,0.029182999999999997,-0.008125,-0.024322,-0.011444,0.018387,-0.006851
43,0.43,0.032129000000000005,-0.014338,-0.002804,-0.010376,0.014130000000000002,-0.005783
44,0.44,0.027536,-0.008634999999999999,0.006651000000000001,-0.009308,0.006668,-0.008987
45,0.45,-0.008607,-0.008786,0.075223,-0.012497,0.0024110000000000004,-0.011124
46,0.46,-0.021041,-0.025528,0.102244,-0.006104,-0.005051,-0.012177
47,0.47,-0.017585,-0.002425,0.067237,-0.002914,-0.0018460000000000004,-0.015381
48,0.48,-0.031427,-0.018144000000000004,0.031432,-0.002914,-0.005051,-0.01857
49,0.49,-0.048503,-0.00896,0.024305,-0.001846,-0.000778,-0.019638
50,0.5,-0.064121,-0.036768,-0.050226,-0.002914,0.002411,-0.020706
51,0.51,-0.044691,-0.038716,-0.035537,-0.005051,0.004547,-0.020706
52,0.52,-0.011753,-0.04063,-0.056204,-0.0071719999999999996,0.007736,-0.019638
53,0.53,-0.051288,-0.0029339999999999987,-0.053157,-0.010376,0.007736,-0.021774
54,0.54,-0.041966,0.030025,-0.043084,-0.012497,0.009872,-0.015381
55,0.55,-0.013661000000000001,0.008883000000000002,0.003471000000000005,-0.012497,0.013062,-0.011124
56,0.56,-0.022407,0.008879000000000001,0.004976,-0.011444,0.015198,-0.010056
57,0.57,-0.027687,-0.009562000000000001,0.012784,-0.009308,0.020523,-0.005783
58,0.58,0.013571000000000001,0.008447,-0.0025489999999999987,-0.011444,0.021591,-0.006851
59,0.59,0.038098000000000014,0.004253,-0.020229,-0.013565,0.022659000000000002,-0.005783
60,0.6,0.025304,-0.0072489999999999985,0.005867000000000001,-0.014633000000000002,0.022659000000000002,-0.008987
61,0.61,0.022086,-0.013405000000000002,0.009573,-0.017822,0.02478,-0.011124
62,0.62,0.04338,-0.055552,0.042483,-0.019958,0.02478,-0.015381
