,ts,ax,ay,az,wx,wy,wz
0,0.0,0.040573000000000005,-0.06777899999999999,-0.140599,0.020447,-0.004227000000000001,-0.001373
1,0.01,0.011658000000000002,-0.027341000000000004,-0.11625,0.018311,-0.00209,-0.0045780000000000005
2,0.02,0.035061,0.017885,-0.130928,0.01619,-0.004227000000000001,-0.006698999999999999
3,0.03,0.006975,0.023847999999999998,-0.155087,0.015121,-0.003159,-0.009903
4,0.04,-0.025626999999999997,0.012579,-0.089121,0.018311,-0.005295,-0.014159999999999999
5,0.05,-0.011672,0.040091,-0.104899,0.017242,-0.007416,-0.012024
6,0.06,-0.035722000000000004,0.047187,-0.05824900000000001,0.017242,-0.012740999999999999,-0.013092
7,0.07,-0.068655,0.059008000000000005,0.00036900000000000127,0.015121,-0.018066,-0.014159999999999999
8,0.08,-0.092403,0.081525,0.028033999999999996,0.018311,-0.021271,-0.014159999999999999
9,0.09,-0.102801,0.07586799999999999,0.062002,0.019379,-0.019135,-0.012024
10,0.1,-0.11195799999999999,0.049602,0.031443,0.020447,-0.012740999999999999,-0.010971
11,0.11,-0.093474,0.016035,0.067824,0.019379,-0.00209,-0.010971
12,0.12,-0.065603,0.006059,-0.025028,0.018311,0.006423999999999999,-0.0077670000000000005
13,0.13,-0.070778,-0.046249,-0.019885,0.019379,0.014953999999999999,-0.006698999999999999
14,0.14,-0.061934,-0.064186,-0.052809000000000016,0.01619,0.017075,-0.002441
15,0.15,-0.083905,-0.07874400000000001,-0.055246,0.014053,0.014953999999999999,-0.0045780000000000005
16,0.16,-0.05680399999999999,-0.06561900000000001,-0.040255,0.012985,0.016022,-0.002441
17,0.17,-0.033075,-0.064165,-0.062376999999999995,0.008728,0.017075,-0.001373
18,0.18,-0.052479,-0.021894,-0.015319999999999999,0.006592,0.014953999999999999,-0.001373
19,0.19,-0.028952,-0.010226,0.01429,0.004471,0.009628,0.0007480000000000001
20,0.2,0.035806,0.010651,0.022014,0.0012660000000000002,0.009628,0.001816
21,0.21,0.052822,0.035942,0.02105,0.000198,0.006423999999999999,-0.0003050000000000001
22,0.22,0.061885,0.027045,0.034267,0.001266,0.007492,0.0007480000000000001
23,0.23,0.053512,0.017402,0.023306999999999998,0.006592,0.00856,0.003952000000000001
24,0.24,0.040192,-0.0031389999999999994,0.049803,0.008728,0.006423999999999999,-0.0003050000000000001
25,0.25,0.046473,0.006213000000000001,0.058346,0.010864,0.007492,-0.001373
26,0.26,0.0033329999999999987,0.0073469999999999985,0.027496,0.008728,0.005371,-0.001373
27,0.27,-0.004237000000000001,0.010091,0.059634000000000006,0.008728,0.004303,-0.00351
28,0.28,0.002069,0.020431,0.012106,0.008728,3.1000000000000205e-05,-0.0045780000000000005
29,0.29,-0.015263999999999996,0.012512,0.048155,0.009796,3.0999999999999995e-05,-0.006698999999999999
30,0.3,-0.011598,-0.018518,0.050629,0.007659999999999999,-0.005295,-0.006698999999999999
31,0.31,0.018288,0.0006359999999999994,0.02642,0.008728,-0.005295,-0.006698999999999999
32,0.32,-0.023056999999999998,-0.014812,0.047687,0.010864,-0.008484,-0.0045780000000000005
33,0.33,-0.043123,0.0014249999999999992,0.020586,0.007659999999999999,-0.008484,-0.00351
34,0.34,-0.048918,-0.03802,0.011715999999999999,0.008728,-0.008484,-0.0003050000000000001
35,0.35,-0.050976,-0.049718,0.04572,0.003403,-0.005295,-0.001373
36,0.36,-0.056447000000000004,-0.011100000000000002,0.061084000000000006,0.00019799999999999983,-0.00209,0.0007480000000000001
37,0.37,-0.084881,-0.027423000000000003,0.062451,0.001266,0.003235,0.00502
38,0.38,-0.065329,-0.029439,0.089377,0.004471,0.005371,0.008209000000000001
39,0.39,-0.047639999999999995,-0.010783,0.069004,0.003403,0.006423999999999999,0.011414
40,0.4,-0.029343,-0.018189,0.039028,0.005539,0.005371,0.016738999999999997
41,0.41,-0.030531,0.009262000000000001,0.040536,0.005539,0.011748999999999999,0.014603
42,0.42,-0.049263,0.015202000000000004,0.066085,0.0023350000000000003,0.014953999999999999,0.017792
43,0.43,-0.032229,-0.003046000000000007,0.046454,0.0012660000000000002,0.017075,0.017792
44,0.44,-0.051577,0.007127999999999997,0.022113,0.0023350000000000003,0.021347,0.013535
45,0.45,-0.06500399999999999,-0.011998000000000002,0.033208999999999995,0.0023350000000000003,0.023468,0.013535
46,0.46,-0.013649,-0.038847,-0.05162499999999999,-0.001923,0.025604000000000002,0.010345
47,0.47,-0.021098,-0.033336000000000005,-0.055015999999999995,-0.007248000000000002,0.024536000000000002,0.008209000000000001
48,0.48,0.025023,0.005962000000000002,-0.061078,-0.012573,0.023468,0.007141
49,0.49,0.067201,-0.016221,-0.059864999999999995,-0.018966999999999998,0.018143,0.003952000000000001
50,0.5,0.063985,-0.040031,-0.046077999999999994,-0.022171,0.014953999999999999,0.002884
51,0.51,0.058740999999999995,-0.01091,-0.025012,-0.022171,0.009628,0.00502
52,0.52,0.073064,0.022692,-0.039367,-0.021103,0.009628,0.0007480000000000001
53,0.53,0.071904,0.013766999999999998,0.030168,-0.020035,0.007492,-0.000305
54,0.54,0.056735,0.037321,0.059184,-0.017899,0.00856,-0.000305
55,0.55,0.06271,0.06356,0.043946,-0.016846,0.00856,-0.002441
