,ts,px,py,pz,rw,rx,ry,rz
0,0.0,-0.22561199999999998,-0.252807,0.251675,0.739474,0.6712239999999999,-0.035486000000000004,-0.037127
1,0.01,-0.22632,-0.253187,0.25202600000000003,0.7394149999999999,0.671304,-0.035344,-0.036989
2,0.02,-0.227028,-0.253556,0.252373,0.7393460000000001,0.671395,-0.035192,-0.036857
3,0.03,-0.22773600000000002,-0.253916,0.252715,0.739279,0.6714829999999999,-0.035032,-0.036725
4,0.04,-0.2284,-0.254235,0.253027,0.739219,0.671564,-0.034883,-0.036605
5,0.05,-0.22905599999999998,-0.254542,0.253333,0.739172,0.6716300000000001,-0.034737,-0.036496
6,0.06,-0.22970900000000002,-0.254841,0.25363600000000003,0.739136,0.6716810000000001,-0.034595999999999995,-0.036397000000000006
7,0.07,-0.23035799999999998,-0.255133,0.253934,0.739116,0.671714,-0.034472,-0.03632
8,0.08,-0.231006,-0.25542,0.254227,0.739117,0.671723,-0.034356,-0.03625
9,0.09,-0.231654,-0.255703,0.25451399999999996,0.739139,0.6717069999999999,-0.034249,-0.036191
10,0.1,-0.232303,-0.255985,0.254794,0.7391840000000001,0.671665,-0.034142,-0.036142
11,0.11,-0.23295500000000002,-0.256271,0.255069,0.739242,0.671608,-0.034059,-0.036108999999999995
12,0.12,-0.23360999999999998,-0.256562,0.25534,0.739297,0.671552,-0.033993999999999996,-0.036088999999999996
13,0.13,-0.234262,-0.25685399999999997,0.25560700000000003,0.739338,0.67151,-0.033943,-0.036077
14,0.14,-0.234893,-0.25714499999999996,0.255851,0.7393770000000001,0.67147,-0.033894,-0.036066
15,0.15,-0.235502,-0.257434,0.256073,0.73941,0.671437,-0.033852999999999994,-0.036054
16,0.16,-0.23610799999999998,-0.257718,0.256294,0.739442,0.671404,-0.033807,-0.036044
17,0.17,-0.23671599999999998,-0.257998,0.25651399999999996,0.739476,0.67137,-0.033752,-0.036039
18,0.18,-0.23731999999999998,-0.258273,0.256735,0.7395149999999999,0.67133,-0.033686,-0.036039999999999996
19,0.19,-0.23792399999999997,-0.25854299999999997,0.256956,0.7395510000000001,0.671293,-0.033611,-0.03606
20,0.2,-0.23853200000000002,-0.258808,0.257179,0.739592,0.671251,-0.033531,-0.036077
21,0.21,-0.239139,-0.259067,0.257399,0.739638,0.671203,-0.033458999999999996,-0.036101999999999995
22,0.22,-0.239744,-0.25932,0.257614,0.739683,0.671154,-0.033394,-0.036132
23,0.23,-0.240352,-0.25956799999999997,0.257825,0.739739,0.671094,-0.033335000000000004,-0.036160000000000005
24,0.24,-0.24094000000000002,-0.259791,0.258017,0.7398060000000001,0.671021,-0.033277,-0.036189
25,0.25,-0.24150500000000003,-0.25998699999999997,0.258189,0.73988,0.670941,-0.033232,-0.036213
26,0.26,-0.242073,-0.260181,0.258358,0.739962,0.670851,-0.033201,-0.036239
27,0.27,-0.242642,-0.260371,0.258524,0.740054,0.6707489999999999,-0.033174,-0.036265
28,0.28,-0.24321199999999998,-0.26056,0.25869000000000003,0.740146,0.6706479999999999,-0.033142000000000005,-0.03628
29,0.29,-0.243777,-0.260745,0.258853,0.7402350000000001,0.670551,-0.033114,-0.036281
30,0.3,-0.24434699999999998,-0.26093099999999997,0.259017,0.740321,0.670458,-0.033093,-0.036282
31,0.31,-0.244917,-0.261117,0.259182,0.740402,0.67037,-0.033075,-0.036277
32,0.32,-0.245484,-0.261301,0.259346,0.740479,0.670285,-0.03306,-0.036273
33,0.33,-0.246047,-0.26148000000000005,0.259509,0.740548,0.670209,-0.033048,-0.036272000000000006
