,ts,px,py,pz,rw,rx,ry,rz
0,0.0,0.010154,0.015623,-0.007935,0.7582399999999999,0.651962,-0.003358,0.0024129999999999998
1,0.01,0.010334999999999999,0.015869,-0.007943,0.7581869999999999,0.652025,-0.0033539999999999998,0.002271
2,0.02,0.010518000000000001,0.016115,-0.007945,0.758119,0.652105,-0.0033710000000000003,0.002135
3,0.03,0.010702,0.016358,-0.007945,0.758041,0.652195,-0.003404,0.001999
4,0.04,0.010887,0.016597999999999998,-0.007944,0.757957,0.652292,-0.0034579999999999997,0.001861
5,0.05,0.011073999999999999,0.016843,-0.007945,0.757879,0.652383,-0.0035329999999999997,0.001718
6,0.06,0.011262999999999999,0.017092,-0.007949,0.757822,0.652449,-0.003614,0.001584
7,0.07,0.011453,0.017349,-0.007951,0.757783,0.6524939999999999,-0.0036850000000000003,0.0014529999999999999
8,0.08,0.011637999999999999,0.017622,-0.007947,0.757767,0.652513,-0.003759,0.0013289999999999999
9,0.09,0.011819,0.017908,-0.007932,0.757776,0.6525029999999999,-0.0038159999999999995,0.0012289999999999998
10,0.1,0.011995,0.018193,-0.007912,0.757782,0.6524949999999999,-0.0038420000000000004,0.00114
11,0.11,0.012163,0.01847,-0.007890000000000001,0.75778,0.6524979999999999,-0.003841,0.001051
12,0.12,0.012322,0.018741,-0.007872,0.757764,0.652517,-0.003827,0.0009689999999999999
13,0.13,0.012471,0.019001,-0.007859999999999999,0.757753,0.65253,-0.003803,0.000884
14,0.14,0.012614,0.019251,-0.007857,0.75774,0.6525449999999999,-0.0037869999999999996,0.000793
15,0.15,0.012752,0.019477,-0.007862000000000001,0.757716,0.652573,-0.003771,0.000701
16,0.16,0.012887000000000001,0.019678,-0.007872,0.757675,0.652621,-0.00375,0.000621
17,0.17,0.013019999999999999,0.019847,-0.007883,0.757608,0.652699,-0.0037240000000000003,0.000558
18,0.18,0.013127000000000002,0.019974000000000002,-0.007896,0.757514,0.6528079999999999,-0.003722,0.0005009999999999999
19,0.19,0.013219,0.020061000000000002,-0.007906,0.757405,0.652935,-0.003714,0.000439
20,0.2,0.013300999999999999,0.020125999999999998,-0.007915,0.757286,0.6530729999999999,-0.003692,0.000384
21,0.21,0.013374,0.020174,-0.007923999999999999,0.757166,0.653212,-0.003664,0.000342
22,0.22,0.013441,0.020213,-0.007932999999999999,0.757054,0.653342,-0.0036420000000000003,0.0003
23,0.23,0.013502000000000002,0.020248,-0.007942,0.756957,0.653455,-0.003629,0.000265
24,0.24,0.013558,0.020279,-0.007951999999999999,0.756875,0.65355,-0.003621,0.00023199999999999997
25,0.25,0.013609,0.020308,-0.007964,0.7568020000000001,0.653634,-0.0036229999999999995,0.00021099999999999998
26,0.26,0.013655,0.020334,-0.007978,0.756737,0.653709,-0.0036560000000000004,0.00018600000000000002
27,0.27,0.013696999999999999,0.020357,-0.007993,0.756681,0.6537729999999999,-0.0037020000000000004,0.000156
28,0.28,0.013738,0.020380000000000002,-0.008009,0.756636,0.653826,-0.0037600000000000003,0.00011200000000000001
29,0.29,0.013775999999999998,0.020403,-0.008025,0.7566109999999999,0.653855,-0.0038200000000000005,7.099999999999999e-05
30,0.3,0.013812,0.020423,-0.008038,0.756602,0.653864,-0.0038590000000000005,4.1e-05
31,0.31,0.013843000000000001,0.020439,-0.008048,0.7566069999999999,0.653859,-0.0038740000000000003,1.9e-05
32,0.32,0.013871000000000001,0.02045,-0.008055,0.75662,0.653844,-0.0038590000000000005,2.8999999999999997e-05
33,0.33,0.013895,0.020457,-0.008059,0.756626,0.653837,-0.0038299999999999996,7.6e-05
34,0.34,0.013915,0.020459,-0.008062999999999999,0.756627,0.653836,-0.003781,0.000139
35,0.35,0.013935,0.020457,-0.008066,0.7566149999999999,0.65385,-0.003728,0.00021400000000000002
36,0.36,0.013952,0.020451,-0.00807,0.75659,0.653879,-0.0036710000000000002,0.00028700000000000004
37,0.37,0.013968000000000001,0.020443,-0.008076,0.756559,0.6539149999999999,-0.003625,0.000361
38,0.38,0.013978999999999998,0.020436000000000003,-0.008081999999999999,0.75653,0.653949,-0.00359,0.00044400000000000006
39,0.39,0.01399,0.020427,-0.008088,0.756504,0.653979,-0.0035450000000000004,0.000524
40,0.4,0.013999000000000001,0.020416,-0.008095999999999999,0.756476,0.654012,-0.0034850000000000003,0.000597
41,0.41,0.014006999999999999,0.020403,-0.008105,0.7564489999999999,0.654043,-0.0034100000000000003,0.000682
42,0.42,0.014013999999999999,0.020388999999999997,-0.008114,0.756418,0.65408,-0.003324,0.000781
43,0.43,0.014018000000000001,0.020373,-0.008124,0.756386,0.6541170000000001,-0.003235,0.0008939999999999999
44,0.44,0.014021,0.020356,-0.008136,0.7563529999999999,0.6541560000000001,-0.003145,0.0010279999999999998
45,0.45,0.014021,0.020338,-0.00815,0.756323,0.654191,-0.003046,0.001176
46,0.46,0.01402,0.020319,-0.008168,0.756304,0.654213,-0.002949,0.001332
47,0.47,0.014018000000000001,0.020301,-0.008186,0.756306,0.6542100000000001,-0.0028420000000000003,0.0014730000000000001
48,0.48,0.014013999999999999,0.020286000000000002,-0.008202,0.756325,0.654189,-0.002712,0.001625
49,0.49,0.014012,0.020278,-0.008215,0.75634,0.6541710000000001,-0.00256,0.001761
50,0.5,0.014011000000000001,0.020277,-0.008223999999999999,0.7563409999999999,0.65417,-0.002381,0.001884
51,0.51,0.014009,0.020276,-0.008229,0.756325,0.6541899999999999,-0.0022,0.002006
52,0.52,0.014008000000000001,0.020276,-0.008232,0.7562949999999999,0.654224,-0.00202,0.002107
53,0.53,0.014006999999999999,0.020275,-0.008234,0.756238,0.6542899999999999,-0.001847,0.0022370000000000003
54,0.54,0.014006000000000001,0.020275,-0.008235,0.75617,0.6543680000000001,-0.001691,0.002366
55,0.55,0.014005000000000002,0.020274,-0.008236,0.7560859999999999,0.654465,-0.001546,0.002489
56,0.56,0.014005000000000002,0.020273,-0.008237000000000001,0.755998,0.654568,-0.0014039999999999999,0.0026079999999999996
57,0.57,0.014005000000000002,0.020273,-0.008237999999999999,0.755905,0.654675,-0.001261,0.002726
58,0.58,0.014003999999999999,0.020273,-0.008237999999999999,0.75581,0.654784,-0.001112,0.002826
59,0.59,0.014003999999999999,0.020272,-0.008237999999999999,0.755713,0.654896,-0.000976,0.002927
60,0.6,0.014003999999999999,0.020272,-0.008237999999999999,0.755612,0.655012,-0.0008380000000000001,0.003026
61,0.61,0.014003999999999999,0.020272,-0.008237999999999999,0.755506,0.655134,-0.0007,0.00312
62,0.62,0.014003999999999999,0.020272,-0.008239,0.755396,0.655261,-0.0005610000000000001,0.003213
63,0.63,0.014003999999999999,0.020272,-0.008239,0.755286,0.6553869999999999,-0.00042699999999999997,0.0033090000000000003
64,0.64,0.014003999999999999,0.020273,-0.008239,0.7551859999999999,0.655502,-0.0003,0.003411
65,0.65,0.014003,0.020273,-0.00824,0.7550939999999999,0.6556069999999999,-0.000172,0.003515
66,0.66,0.014003,0.020275,-0.008242,0.755012,0.655701,-5e-05,0.003621
67,0.67,0.014002,0.020279,-0.008245,0.7549359999999999,0.655788,5.6000000000000006e-05,0.0037270000000000003
68,0.68,0.014001,0.020284,-0.008248,0.754864,0.65587,0.000164,0.003824
69,0.69,0.013999999999999999,0.020291999999999998,-0.008254000000000001,0.754794,0.65595,0.000279,0.003901
70,0.7,0.013999999999999999,0.020302,-0.00826,0.754728,0.656026,0.000388,0.003979
71,0.71,0.013999000000000001,0.020313,-0.008268000000000001,0.754666,0.656096,0.0005,0.004063000000000001
72,0.72,0.013997999999999998,0.020326,-0.008277,0.754624,0.656144,0.0006219999999999999,0.004141
73,0.73,0.013997999999999998,0.02034,-0.008288,0.754599,0.656172,0.000758,0.004224
74,0.74,0.013996999999999999,0.020353,-0.008298,0.7545890000000001,0.6561819999999999,0.000906,0.004318
75,0.75,0.013996999999999999,0.020364,-0.008308,0.754582,0.6561899999999999,0.00106,0.004418
76,0.76,0.013997999999999998,0.020373,-0.008316,0.75457,0.656203,0.0012259999999999999,0.004529999999999999
77,0.77,0.013999000000000001,0.020381,-0.008325,0.754542,0.656234,0.001395,0.004640999999999999
78,0.78,0.013999999999999999,0.020388,-0.008334000000000001,0.754498,0.656283,0.001567,0.0047409999999999996
