,ts,ax,ay,az,wx,wy,wz
0,0.0,-0.005675,0.07671499999999999,0.035175,0.013809,-0.019500999999999998,-0.024048
1,0.01,0.012221,0.026702999999999998,-0.007324,0.018066,-0.020569,-0.019791
2,0.02,-0.005315,0.022443,0.032131,0.023392,-0.023758,-0.017654
3,0.03,0.0018309999999999995,-0.016652,-0.018201000000000002,0.023392,-0.025894,-0.015533000000000002
4,0.04,-0.01258,-0.032686,-0.053836,0.02446,-0.030151,-0.013397
5,0.05,0.013675999999999999,-0.023638,-0.041844,0.020203,-0.032288,-0.010208
6,0.06,-0.009534,0.037457,-0.072956,0.013809,-0.031219,-0.010208
7,0.07,-0.035843,0.017841,-0.07292699999999999,0.009552,-0.031219,-0.012329000000000001
8,0.08,-0.061876,0.048161,-0.020030000000000003,0.0010219999999999997,-0.024825999999999997,-0.00914
9,0.09,-0.060126,0.022875,0.05277000000000001,-0.003235,-0.018433,-0.010208
10,0.1,-0.088853,-0.005788000000000001,0.066106,-0.001099,-0.013106999999999999,-0.015533000000000002
11,0.11,-0.10105399999999999,-0.06732800000000001,0.047425999999999996,0.0031590000000000003,-0.012054,-0.014465
12,0.12,-0.096732,-0.105386,0.053877999999999995,0.003159,-0.00885,-0.015533000000000002
13,0.13,-0.065873,-0.097795,0.08088,0.003159,-0.007781999999999999,-0.016602000000000002
14,0.14,-0.048760000000000005,-0.11044000000000001,0.21525100000000003,0.004227000000000001,-0.012054,-0.016602000000000002
15,0.15,-0.04066,-0.091101,0.224302,0.008484,-0.00885,-0.016602000000000002
16,0.16,0.016776,-0.044787,0.253627,0.015944999999999997,-0.006714,-0.013397
17,0.17,0.005483999999999999,-0.060444000000000005,0.252316,0.02446,-0.005661,-0.013397
18,0.18,0.031316000000000004,-0.0010450000000000043,0.226285,0.029785000000000002,-0.007781999999999999,-0.013397
19,0.19,0.028321,-0.055310000000000005,0.151476,0.03511,-0.006714,-0.012329000000000001
20,0.2,-0.023718,-0.021216,0.10401099999999999,0.037247,-0.003525,-0.011276000000000001
21,0.21,-0.009954000000000001,-0.024306,0.046685000000000004,0.036179,-0.002457,-0.010208
22,0.22,-0.019991,-0.017134,0.003186,0.031921,-0.004593,-0.008072
23,0.23,-0.057415999999999995,-0.04753199999999999,-0.03614,0.026595999999999998,-0.002457,-0.007004000000000001
24,0.24,-0.0358,-0.055313,-0.019797,0.023392,-0.004593,-0.004883
25,0.25,-0.027329000000000003,-0.049339,0.0010250000000000016,0.021271,-0.006714,-0.0006099999999999994
26,0.26,-0.055408000000000006,-0.059953,0.0023230000000000004,0.018066,-0.010986,0.001511
27,0.27,-0.013075,-0.046156,0.015194999999999998,0.015944999999999997,-0.015244,0.000443
28,0.28,-0.029082,-0.0035789999999999993,-0.028242,0.010620000000000001,-0.016312,-0.00061
29,0.29,0.006113,0.047195,0.033195999999999996,0.004227000000000001,-0.013106999999999999,0.0015110000000000002
30,0.3,-0.041424,0.058259000000000005,0.034696,-4.600000000000003e-05,-0.00885,-0.002747
31,0.31,0.020906,0.061252999999999995,0.076075,-0.003235,-0.002457,-0.001678
32,0.32,-0.009173,0.025476,0.1092,-0.004303,0.008194,0.0004429999999999998
33,0.33,-0.007681,0.00674,0.146112,-0.002167,0.011382999999999999,0.002579
34,0.34,-0.021665,-0.040554,0.13000799999999998,0.00209,0.018844999999999997,0.001511
35,0.35,-0.033343,-0.10209800000000001,0.125198,0.004227000000000001,0.016708,0.003647
36,0.36,-0.045870999999999995,-0.080246,0.129948,0.007416,0.017776,0.004715
37,0.37,-0.054276,-0.084311,0.064949,0.009552,0.015656,0.005783
38,0.38,-0.08505700000000001,-0.073555,0.062011000000000004,0.0063479999999999995,0.015656,0.005783
39,0.39,-0.07952100000000001,-0.031744,-0.0005900000000000002,0.008484,0.017776,0.002579
40,0.4,-0.100912,-0.022346,0.038066,0.007416,0.020981,0.002579
41,0.41,-0.084883,-0.017875,-0.011559,0.008484,0.022049000000000003,0.003647
42,0.42,-0.076289,-0.047381,-0.01593,0.008484,0.028426999999999997,0.004715
43,0.43,-0.097001,-0.028997000000000002,-0.02434,0.009552,0.029495,0.006836
44,0.44,-0.064448,-0.088326,-0.06846000000000001,0.008484,0.0327,0.008971999999999999
45,0.45,-0.057217,-0.052157,-0.086687,0.009552,0.034821,0.01004
46,0.46,-0.054653999999999994,-0.018795,-0.10628599999999999,0.0010219999999999997,0.034821,0.008971999999999999
47,0.47,-0.0030969999999999986,0.029338000000000006,-0.082122,-0.004303,0.038025,0.007904000000000001
48,0.48,-0.022959999999999998,0.11698699999999998,-0.066835,-0.007492,0.041214,0.003647
49,0.49,-0.017927000000000002,0.121591,-0.046943,-0.003235,0.044418,-0.0016780000000000002
50,0.5,-0.018297,0.15149,-0.029604000000000002,0.003159,0.048676,-0.003815
51,0.51,-0.01056,0.11339,0.007893,0.0063479999999999995,0.045471,-0.003815
