,ts,px,py,pz,rw,rx,ry,rz
0,0.0,-0.077664,-0.079738,-0.176808,0.744424,0.666799,0.030631,0.016524
1,0.01,-0.077702,-0.08018,-0.177268,0.744373,0.66686,0.03058,0.016478
2,0.02,-0.07774,-0.08062899999999999,-0.177726,0.744317,0.666926,0.030525999999999998,0.016432
3,0.03,-0.07778,-0.081083,-0.178181,0.744258,0.666995,0.030479000000000003,0.016384
4,0.04,-0.077819,-0.081544,-0.178637,0.7441979999999999,0.667065,0.030436,0.016346
5,0.05,-0.07785800000000001,-0.08201,-0.17909,0.744143,0.667129,0.030412,0.016311000000000003
6,0.06,-0.077898,-0.082483,-0.179544,0.7440899999999999,0.667188,0.030402999999999996,0.01629
7,0.07,-0.07794,-0.082959,-0.17999500000000002,0.744038,0.667247,0.030404,0.016287
8,0.08,-0.077984,-0.08344299999999999,-0.180448,0.743973,0.6673180000000001,0.03042,0.016297
9,0.09,-0.077981,-0.083884,-0.180833,0.743898,0.6674,0.030461000000000002,0.016312
10,0.1,-0.07797899999999999,-0.08433,-0.18121700000000002,0.7438130000000001,0.667491,0.030514,0.016332
11,0.11,-0.07797799999999999,-0.084783,-0.181605,0.743726,0.6675840000000001,0.030586000000000002,0.016352000000000002
12,0.12,-0.077975,-0.085236,-0.181991,0.743642,0.667674,0.030668,0.016378999999999998
13,0.13,-0.077972,-0.085691,-0.18237899999999999,0.743563,0.6677569999999999,0.030749000000000002,0.016397
14,0.14,-0.077967,-0.086151,-0.18277100000000002,0.743486,0.6678390000000001,0.030820999999999998,0.01642
15,0.15,-0.077962,-0.086616,-0.18316400000000002,0.7434109999999999,0.6679189999999999,0.030888,0.016442
16,0.16,-0.077959,-0.087085,-0.183559,0.743332,0.668004,0.030951,0.016465
17,0.17,-0.077958,-0.087556,-0.183954,0.74325,0.668092,0.030994,0.016474000000000003
18,0.18,-0.077957,-0.088033,-0.184352,0.7431810000000001,0.668167,0.031017000000000003,0.016483
19,0.19,-0.0779,-0.088478,-0.184675,0.743123,0.668231,0.031038999999999997,0.01649
20,0.2,-0.077843,-0.088931,-0.184998,0.743073,0.668285,0.031073000000000003,0.016499
21,0.21,-0.077785,-0.089395,-0.18532,0.743016,0.668346,0.031113,0.016517
22,0.22,-0.077724,-0.089874,-0.185642,0.742946,0.668421,0.031166000000000003,0.016538999999999998
23,0.23,-0.07766,-0.09036799999999999,-0.185961,0.7428710000000001,0.6685,0.031226,0.016565
24,0.24,-0.077593,-0.090875,-0.186279,0.742786,0.6685909999999999,0.031293,0.0166
25,0.25,-0.077524,-0.09139,-0.186595,0.742698,0.6686850000000001,0.031351,0.016628
26,0.26,-0.077453,-0.091913,-0.186911,0.7426159999999999,0.668775,0.031389999999999994,0.016640000000000002
27,0.27,-0.07738300000000001,-0.092438,-0.187227,0.74254,0.6688569999999999,0.031421,0.016644
28,0.28,-0.07731299999999999,-0.092967,-0.18754500000000002,0.7424729999999999,0.668932,0.031429,0.016641999999999997
29,0.29,-0.077224,-0.093466,-0.187831,0.742404,0.669008,0.031425,0.016636
30,0.3,-0.077136,-0.09397,-0.188122,0.7423270000000001,0.669094,0.031426,0.016623
31,0.31,-0.077045,-0.094475,-0.188416,0.742244,0.669186,0.031425,0.016605
32,0.32,-0.07695,-0.09498,-0.18871400000000002,0.742155,0.6692859999999999,0.031427,0.016589
33,0.33,-0.076852,-0.09548200000000001,-0.18901400000000002,0.742074,0.669374,0.031445999999999995,0.016576
34,0.34,-0.07675,-0.095986,-0.189314,0.741999,0.669458,0.031467,0.016558
35,0.35,-0.07664299999999999,-0.09649500000000001,-0.18961,0.74193,0.669533,0.031486,0.016543000000000002
36,0.36,-0.076534,-0.097011,-0.1899,0.741859,0.669611,0.031507,0.016521
