,ts,px,py,pz,rw,rx,ry,rz
0,0.0,-0.051924,-0.44275200000000003,-0.01769,0.727937,0.6855760000000001,0.005903,-0.0076430000000000005
1,0.01,-0.052201,-0.44367,-0.017724,0.727923,0.6855899999999999,0.0058649999999999996,-0.007709000000000001
2,0.02,-0.052447,-0.44454799999999994,-0.017733000000000002,0.727896,0.685619,0.00585,-0.007761
3,0.03,-0.05269600000000001,-0.44543900000000003,-0.017738999999999998,0.727858,0.685659,0.005856,-0.0077989999999999995
4,0.04,-0.052945000000000006,-0.446341,-0.017740000000000002,0.727813,0.685706,0.005884,-0.007819
5,0.05,-0.053197,-0.447248,-0.017740000000000002,0.727766,0.685755,0.005905,-0.007837
6,0.06,-0.053452,-0.448155,-0.017743000000000002,0.727722,0.685801,0.005912,-0.007859
7,0.07,-0.053712,-0.44905500000000004,-0.01775,0.727692,0.685833,0.005894,-0.007885
8,0.08,-0.053979,-0.44995,-0.017763,0.727677,0.68585,0.005863,-0.007909000000000001
9,0.09,-0.054249,-0.450834,-0.017781,0.727676,0.68585,0.0058130000000000005,-0.007942
10,0.1,-0.05452100000000001,-0.45171300000000003,-0.017800999999999997,0.7276779999999999,0.6858479999999999,0.005752,-0.007984999999999999
11,0.11,-0.054792999999999994,-0.45258699999999996,-0.017823,0.7276779999999999,0.6858479999999999,0.005676,-0.008033
12,0.12,-0.055042999999999995,-0.453437,-0.017849,0.727672,0.685855,0.005594,-0.008095999999999999
13,0.13,-0.055275,-0.454272,-0.017877,0.7276590000000001,0.685869,0.0055,-0.008177
14,0.14,-0.05550700000000001,-0.455108,-0.017902,0.727641,0.685888,0.005399,-0.008259
15,0.15,-0.055738,-0.455945,-0.017925,0.7276130000000001,0.685917,0.005299,-0.008347
16,0.16,-0.05597100000000001,-0.456788,-0.017945,0.727575,0.685956,0.005207,-0.008438
17,0.17,-0.056205,-0.45763400000000004,-0.017963999999999997,0.727532,0.686002,0.005122,-0.008515
18,0.18,-0.05644400000000001,-0.45848500000000003,-0.017985,0.727486,0.68605,0.005054,-0.008576
19,0.19,-0.056687,-0.45933599999999997,-0.018009,0.72745,0.686088,0.0050030000000000005,-0.008620000000000001
20,0.2,-0.056933000000000004,-0.460182,-0.018036,0.727428,0.6861109999999999,0.004964,-0.008653000000000001
21,0.21,-0.057183000000000005,-0.461027,-0.018068,0.727422,0.686118,0.0049299999999999995,-0.008675
22,0.22,-0.057378,-0.46183100000000005,-0.018124,0.727427,0.686113,0.004896,-0.008692
23,0.23,-0.057575,-0.462632,-0.018185,0.727448,0.68609,0.004861,-0.008718
24,0.24,-0.057771,-0.463425,-0.018249,0.727489,0.6860470000000001,0.0048189999999999995,-0.008752
25,0.25,-0.057967,-0.464215,-0.018316,0.727536,0.685996,0.004767,-0.008787
26,0.26,-0.058164,-0.465003,-0.018383,0.727587,0.685942,0.00472,-0.008816
27,0.27,-0.058362,-0.46578800000000004,-0.018449,0.727627,0.6859,0.004679,-0.008833
28,0.28,-0.058564,-0.466575,-0.018509,0.72765,0.685876,0.004651,-0.008846
29,0.29,-0.05876699999999999,-0.46736400000000006,-0.018565,0.727664,0.6858609999999999,0.004640999999999999,-0.008858
30,0.3,-0.05897,-0.46815,-0.018616,0.727661,0.685864,0.004639,-0.008862
31,0.31,-0.059173,-0.46894399999999997,-0.018663,0.72764,0.685886,0.004635,-0.008874
32,0.32,-0.059374,-0.469737,-0.018709,0.7276050000000001,0.685923,0.004633,-0.008884999999999999
33,0.33,-0.059574,-0.470488,-0.018765,0.7275689999999999,0.6859609999999999,0.004627,-0.008898
34,0.34,-0.059873,-0.47160799999999997,-0.018853,0.727522,0.6860109999999999,0.004614,-0.008916
35,0.35,-0.060071000000000006,-0.472347,-0.018914,0.727498,0.686036,0.004589,-0.008921
36,0.36,-0.060269,-0.473083,-0.018978000000000002,0.727489,0.686046,0.004564,-0.008918
37,0.37,-0.060467999999999994,-0.47380900000000004,-0.019047,0.727494,0.686042,0.00455,-0.008911
38,0.38,-0.060671,-0.47453100000000004,-0.019121,0.7275050000000001,0.68603,0.004542,-0.008912999999999999
39,0.39,-0.060875,-0.475246,-0.019198,0.727527,0.686006,0.004546,-0.008912999999999999
40,0.4,-0.061082000000000004,-0.475955,-0.019275999999999998,0.7275560000000001,0.685975,0.004556,-0.008908
41,0.41,-0.061288999999999996,-0.476662,-0.019355,0.727583,0.685947,0.004582999999999999,-0.008898
42,0.42,-0.061498000000000004,-0.477338,-0.019427,0.7276020000000001,0.685926,0.004619,-0.008874
43,0.43,-0.06171,-0.47798900000000005,-0.019492,0.727611,0.685917,0.004659,-0.008844
44,0.44,-0.06192,-0.478637,-0.019556,0.7276100000000001,0.685919,0.004697,-0.008814
45,0.45,-0.06213099999999999,-0.479288,-0.019617,0.7276020000000001,0.6859270000000001,0.004729,-0.008789
46,0.46,-0.062341999999999995,-0.47993800000000003,-0.019676,0.72759,0.68594,0.004746,-0.008756
47,0.47,-0.062551,-0.480584,-0.019734,0.72758,0.685951,0.004768,-0.008722
48,0.48,-0.062762,-0.48123,-0.019793,0.727571,0.68596,0.004786,-0.008683
49,0.49,-0.062973,-0.481872,-0.019852,0.7275689999999999,0.685963,0.0048130000000000004,-0.00863
50,0.5,-0.063185,-0.482509,-0.019915000000000002,0.727571,0.6859609999999999,0.00484,-0.008578
51,0.51,-0.06350700000000001,-0.483458,-0.020015,0.727583,0.68595,0.004882,-0.0085
52,0.52,-0.063715,-0.484063,-0.020085,0.72759,0.6859430000000001,0.004906000000000001,-0.008464
53,0.53,-0.063912,-0.48463999999999996,-0.020154,0.727594,0.6859390000000001,0.004925,-0.008435
54,0.54,-0.064108,-0.485212,-0.020222999999999998,0.727583,0.685951,0.004935,-0.008408
55,0.55,-0.064301,-0.485783,-0.020288,0.7275659999999999,0.685968,0.0049369999999999995,-0.008392
56,0.56,-0.06448999999999999,-0.486353,-0.020347999999999998,0.727543,0.685994,0.004927,-0.008387
