,ts,px,py,pz,rw,rx,ry,rz
0,0.0,0.0018850000000000002,-0.073686,-0.031682,0.7403890000000001,0.672098,-0.009469,0.0044280000000000005
1,0.01,0.001939,-0.073655,-0.031677,0.740434,0.67205,-0.009307,0.004523
2,0.02,0.001987,-0.073629,-0.031674,0.740474,0.672007,-0.009145,0.00462
3,0.03,0.0020280000000000003,-0.073608,-0.031671,0.740525,0.671952,-0.008981999999999999,0.004715
4,0.04,0.0020629999999999997,-0.073591,-0.031669,0.740591,0.6718810000000001,-0.008805,0.004808
5,0.05,0.002093,-0.073577,-0.031668,0.74066,0.6718069999999999,-0.008612999999999999,0.00491
6,0.06,0.0021190000000000002,-0.07356599999999999,-0.031668,0.740732,0.671729,-0.008418,0.005019
7,0.07,0.002141,-0.073559,-0.031669,0.740787,0.67167,-0.00823,0.005142
8,0.08,0.00216,-0.07355199999999999,-0.03167,0.740842,0.671611,-0.008048999999999999,0.00526
9,0.09,0.0021809999999999998,-0.073543,-0.031672000000000006,0.740907,0.6715399999999999,-0.007888,0.005361
10,0.1,0.002202,-0.073535,-0.031673,0.740957,0.671485,-0.0077469999999999995,0.005446
11,0.11,0.002221,-0.073527,-0.031674,0.740989,0.671451,-0.007614,0.005527000000000001
12,0.12,0.002238,-0.073521,-0.031674,0.741016,0.6714220000000001,-0.007492,0.005614
13,0.13,0.002252,-0.073516,-0.031673,0.7410359999999999,0.671401,-0.007367,0.005707
14,0.14,0.0022649999999999997,-0.073512,-0.031673,0.741043,0.671393,-0.007237,0.005816
15,0.15,0.002277,-0.07351,-0.031672000000000006,0.7410399999999999,0.671397,-0.007094,0.005937
16,0.16,0.002288,-0.073508,-0.031671,0.741039,0.671399,-0.006945999999999999,0.006063000000000001
17,0.17,0.002297,-0.073508,-0.03167,0.741041,0.671397,-0.006795000000000001,0.006202
18,0.18,0.002303,-0.073508,-0.03167,0.741054,0.671383,-0.006640999999999999,0.006335
19,0.19,0.002306,-0.073509,-0.03167,0.741071,0.671365,-0.006492,0.006456
20,0.2,0.0023079999999999997,-0.073509,-0.031671,0.741074,0.671361,-0.006327,0.006587000000000001
21,0.21,0.002311,-0.073509,-0.031671,0.741084,0.671351,-0.006155,0.0067280000000000005
22,0.22,0.002313,-0.07351,-0.031671,0.741102,0.67133,-0.005986,0.006873000000000001
23,0.23,0.002315,-0.07351,-0.031672000000000006,0.7411260000000001,0.671304,-0.005821,0.0070030000000000005
24,0.24,0.002318,-0.073511,-0.031672000000000006,0.741147,0.6712819999999999,-0.005661,0.007117
25,0.25,0.00232,-0.073512,-0.031673,0.74115,0.6712779999999999,-0.005516,0.0072180000000000005
26,0.26,0.002323,-0.073513,-0.031673,0.7411369999999999,0.671293,-0.005379,0.007306999999999999
27,0.27,0.002326,-0.073514,-0.031673,0.741115,0.671317,-0.0052450000000000005,0.007387
28,0.28,0.002328,-0.073515,-0.031673,0.7410979999999999,0.6713359999999999,-0.005115,0.007465
29,0.29,0.0023309999999999997,-0.073517,-0.031674,0.741093,0.671342,-0.004995,0.007529999999999999
30,0.3,0.002334,-0.073518,-0.031675,0.7410909999999999,0.671343,-0.004889,0.007599
31,0.31,0.002338,-0.073518,-0.031675999999999996,0.741109,0.671324,-0.004797,0.0076560000000000005
32,0.32,0.0023420000000000003,-0.073519,-0.031678,0.741157,0.671271,-0.00472,0.007706
33,0.33,0.002348,-0.073518,-0.03168,0.741229,0.671191,-0.004646,0.007764
34,0.34,0.002355,-0.073518,-0.031682999999999996,0.7413109999999999,0.6711010000000001,-0.004567,0.007826999999999999
35,0.35,0.002362,-0.073518,-0.031685000000000005,0.7413850000000001,0.6710189999999999,-0.004489,0.007879
36,0.36,0.002367,-0.073519,-0.031688,0.741436,0.670962,-0.004398,0.007936
37,0.37,0.002372,-0.07352,-0.031689999999999996,0.741459,0.670937,-0.004311,0.007982
38,0.38,0.002376,-0.073521,-0.031691000000000004,0.741467,0.670928,-0.004229999999999999,0.008034
39,0.39,0.00238,-0.073521,-0.031694,0.741479,0.670914,-0.004154,0.008089
40,0.4,0.0023829999999999997,-0.073521,-0.031695,0.741483,0.670909,-0.004075,0.00815
41,0.41,0.002386,-0.073522,-0.031697,0.741468,0.670926,-0.003987,0.008222
42,0.42,0.0023899999999999998,-0.073523,-0.031698000000000004,0.7414350000000001,0.670962,-0.0039049999999999996,0.008293
43,0.43,0.0023940000000000003,-0.073524,-0.031699,0.741386,0.671016,-0.0038299999999999996,0.008369
44,0.44,0.0024,-0.073527,-0.0317,0.741337,0.6710689999999999,-0.003751,0.008462
45,0.45,0.0024059999999999997,-0.07353,-0.031701,0.741293,0.671117,-0.003665,0.008562
46,0.46,0.0024129999999999998,-0.073533,-0.031702999999999995,0.741274,0.671137,-0.003595,0.008652
47,0.47,0.002419,-0.073536,-0.031705000000000004,0.7412810000000001,0.671129,-0.0035369999999999998,0.008731000000000001
48,0.48,0.002426,-0.073537,-0.031708999999999994,0.741318,0.671086,-0.0034939999999999997,0.008819
49,0.49,0.002433,-0.073536,-0.031713,0.741371,0.671027,-0.0034340000000000004,0.008947
50,0.5,0.002442,-0.073534,-0.031717,0.741424,0.670967,-0.003341,0.009087
51,0.51,0.0024519999999999998,-0.07353,-0.031722,0.741437,0.670952,-0.003239,0.009196
52,0.52,0.002467,-0.073523,-0.031729,0.741416,0.670974,-0.003128,0.009266
53,0.53,0.0024850000000000002,-0.073513,-0.031743,0.741394,0.670998,-0.003007,0.009312
54,0.54,0.002506,-0.073497,-0.031764999999999995,0.741406,0.670985,-0.002891,0.009351
55,0.55,0.00253,-0.07347200000000001,-0.031797000000000006,0.741463,0.670922,-0.002801,0.009401999999999999
56,0.56,0.002558,-0.073435,-0.031837,0.741563,0.6708109999999999,-0.002751,0.009448
57,0.57,0.002593,-0.073383,-0.031887,0.741692,0.670667,-0.002728,0.009509
58,0.58,0.002641,-0.073321,-0.031944,0.741839,0.670504,-0.002736,0.00958
59,0.59,0.002691,-0.073262,-0.032008999999999996,0.742013,0.6703100000000001,-0.0027649999999999997,0.009646
60,0.6,0.002769,-0.073188,-0.032088,0.742188,0.6701159999999999,-0.0028239999999999997,0.0097
61,0.61,0.002885,-0.07309199999999999,-0.032185000000000005,0.742369,0.669914,-0.002903,0.009723
62,0.62,0.003039,-0.072979,-0.032299,0.742553,0.66971,-0.002979,0.009722
63,0.63,0.00321,-0.072861,-0.032414,0.742735,0.669509,-0.003039,0.009701000000000001
64,0.64,0.00339,-0.072739,-0.03253,0.742908,0.669317,-0.003077,0.009670999999999999
65,0.65,0.003573,-0.072611,-0.032648,0.743081,0.669125,-0.003092,0.009647
66,0.66,0.0037549999999999997,-0.072475,-0.03277,0.743261,0.668926,-0.003087,0.009635
67,0.67,0.00394,-0.072326,-0.032894,0.743451,0.668714,-0.00307,0.009637999999999999
68,0.68,0.0041259999999999995,-0.072167,-0.03302,0.743649,0.668493,-0.0030440000000000003,0.009656
69,0.69,0.004306,-0.07198,-0.033144,0.743863,0.668255,-0.003022,0.009701999999999999
70,0.7,0.004494,-0.071786,-0.033264999999999996,0.744058,0.668037,-0.00298,0.009771
71,0.71,0.004693,-0.07158400000000001,-0.033382999999999996,0.744232,0.667842,-0.0029,0.009842
72,0.72,0.0049039999999999995,-0.071374,-0.033496,0.744382,0.667674,-0.002791,0.009913
73,0.73,0.005125,-0.071158,-0.033605,0.7445039999999999,0.667538,-0.0026420000000000003,0.00999
74,0.74,0.005353,-0.070937,-0.033711,0.74459,0.667441,-0.002445,0.010091
75,0.75,0.0055850000000000006,-0.07071000000000001,-0.033812,0.74464,0.667384,-0.002196,0.010236
76,0.76,0.005823,-0.070476,-0.033911000000000004,0.744663,0.6673560000000001,-0.001895,0.010414
77,0.77,0.006067,-0.070233,-0.034009,0.744677,0.667339,-0.001576,0.010611
78,0.78,0.00632,-0.069975,-0.034107,0.744696,0.667315,-0.001234,0.010831
79,0.79,0.0065840000000000004,-0.06969600000000001,-0.034208999999999996,0.744729,0.6672739999999999,-0.000875,0.011077
80,0.8,0.006873000000000001,-0.069378,-0.034323,0.744787,0.6672060000000001,-0.000524,0.011340000000000001
81,0.81,0.0071909999999999995,-0.06901900000000001,-0.034451,0.744884,0.667093,-0.000178,0.011637999999999999
82,0.82,0.007520000000000001,-0.068633,-0.034588,0.745004,0.666954,0.000147,0.011937999999999999
83,0.83,0.007864,-0.068216,-0.034733999999999994,0.745155,0.666779,0.00047400000000000003,0.012258
84,0.84,0.008221,-0.067772,-0.034888,0.745302,0.666609,0.000817,0.012556
85,0.85,0.008589,-0.067304,-0.035048,0.745459,0.6664260000000001,0.001151,0.01285
86,0.86,0.00897,-0.06680900000000001,-0.035213,0.74562,0.6662399999999999,0.001468,0.013137000000000001
87,0.87,0.009366,-0.066289,-0.035383,0.745779,0.6660560000000001,0.0017640000000000002,0.013405000000000002
88,0.88,0.00978,-0.065751,-0.035556,0.745934,0.665877,0.002061,0.013665
89,0.89,0.01022,-0.065193,-0.035729000000000004,0.746087,0.6656989999999999,0.002355,0.013918999999999999
