,ts,px,py,pz,rw,rx,ry,rz
0,0.0,0.011304,-0.012277,0.007097,0.7468899999999999,0.664574,-0.008492,-0.02062
1,0.01,0.011286,-0.012281,0.007084,0.746916,0.664551,-0.008378,-0.020462
2,0.02,0.011266,-0.012288,0.007070999999999999,0.746937,0.664533,-0.00827,-0.020291
3,0.03,0.011245999999999999,-0.012295,0.007056000000000001,0.746955,0.664521,-0.008157,-0.020119
4,0.04,0.011231999999999999,-0.012303,0.007047,0.746965,0.664515,-0.00804,-0.01994
5,0.05,0.011224,-0.01231,0.007043000000000001,0.746965,0.664523,-0.007923999999999999,-0.01977
6,0.06,0.011218,-0.012317,0.00704,0.746954,0.6645399999999999,-0.007815,-0.019621
7,0.07,0.011212999999999999,-0.012323,0.007036,0.746935,0.664567,-0.007722,-0.019484
8,0.08,0.01121,-0.012328,0.007034,0.7469060000000001,0.664604,-0.007652,-0.019372999999999998
9,0.09,0.011208,-0.012333,0.007031999999999999,0.746869,0.6646479999999999,-0.007598000000000001,-0.019286
10,0.1,0.011206,-0.012336,0.007031,0.746829,0.664695,-0.007568999999999999,-0.019214
11,0.11,0.011205,-0.01234,0.007031,0.746781,0.664751,-0.007552,-0.019166
12,0.12,0.011205,-0.012343000000000002,0.007031,0.746733,0.664806,-0.00755,-0.019136
13,0.13,0.011205,-0.012348,0.007033,0.746681,0.664864,-0.007559999999999999,-0.019118
14,0.14,0.011206,-0.012351,0.007035,0.746627,0.664925,-0.007573999999999999,-0.019128
15,0.15,0.011208,-0.012356,0.007037999999999999,0.7465689999999999,0.664989,-0.0076040000000000005,-0.019147
16,0.16,0.011212,-0.012362999999999999,0.007044,0.746509,0.6650550000000001,-0.007640999999999999,-0.019180000000000003
17,0.17,0.011217,-0.012374,0.007051000000000001,0.7464430000000001,0.665127,-0.007690000000000001,-0.019225
18,0.18,0.011223,-0.012387,0.007058,0.7463569999999999,0.665221,-0.007742,-0.019275999999999998
19,0.19,0.011231,-0.012404,0.007065999999999999,0.746271,0.665316,-0.007807,-0.01932
20,0.2,0.011238,-0.012423,0.007072,0.7461840000000001,0.665412,-0.007882,-0.019361
21,0.21,0.011244,-0.012440999999999999,0.007076000000000001,0.746095,0.665509,-0.007954000000000001,-0.019400999999999998
22,0.22,0.011247,-0.012456,0.007078,0.746024,0.665587,-0.008018,-0.019421
23,0.23,0.011251,-0.01247,0.007079,0.7459720000000001,0.6656449999999999,-0.008073,-0.019426
24,0.24,0.011254,-0.012483,0.0070799999999999995,0.7459359999999999,0.6656850000000001,-0.008116,-0.019413999999999997
25,0.25,0.011255,-0.012494,0.0070799999999999995,0.745911,0.665714,-0.008149,-0.019392
26,0.26,0.011255,-0.012505,0.007079,0.745895,0.665732,-0.008176000000000001,-0.019359
27,0.27,0.011253,-0.012516,0.007077,0.745887,0.6657420000000001,-0.008179,-0.019313999999999998
28,0.28,0.01125,-0.01253,0.0070739999999999996,0.745894,0.665737,-0.008165,-0.019244999999999998
29,0.29,0.011245,-0.012548,0.00707,0.745917,0.665713,-0.008129,-0.019154
30,0.3,0.011238,-0.012568000000000001,0.007064,0.745955,0.665676,-0.008068,-0.019036
31,0.31,0.011228,-0.012594,0.007056000000000001,0.7460100000000001,0.665619,-0.007979,-0.018897
32,0.32,0.011214,-0.012624,0.007045999999999999,0.7460720000000001,0.665555,-0.007866,-0.018738
33,0.33,0.011195,-0.012655,0.007033,0.7461300000000001,0.665496,-0.007744,-0.018556
34,0.34,0.011170999999999999,-0.012684,0.007018000000000001,0.746166,0.665463,-0.007613,-0.018359
35,0.35,0.011145,-0.012716,0.007001,0.746193,0.6654399999999999,-0.007481999999999999,-0.018156
36,0.36,0.011119,-0.012749,0.006984000000000001,0.746212,0.665425,-0.007361,-0.017969
37,0.37,0.011095,-0.012781,0.006968000000000001,0.7462270000000001,0.6654140000000001,-0.007254999999999999,-0.017811
38,0.38,0.011075,-0.012811000000000001,0.006954000000000001,0.7462409999999999,0.665402,-0.007175,-0.017687
39,0.39,0.011059000000000001,-0.012837999999999999,0.006940999999999999,0.74626,0.665385,-0.007116,-0.017592
40,0.4,0.011047,-0.012863999999999999,0.0069310000000000005,0.746275,0.665369,-0.007069,-0.017532
41,0.41,0.011036,-0.012889,0.006923,0.746279,0.665367,-0.0070290000000000005,-0.017490000000000002
42,0.42,0.011026000000000001,-0.012916,0.006917,0.746273,0.665375,-0.00698,-0.01744
43,0.43,0.011016,-0.012946000000000001,0.006913,0.746258,0.665393,-0.0069180000000000005,-0.017388999999999998
44,0.44,0.011011,-0.012957,0.006914,0.7462270000000001,0.665431,-0.006831,-0.017331
45,0.45,0.011005,-0.012969,0.006915,0.746186,0.665479,-0.006718000000000001,-0.017265
46,0.46,0.010997,-0.012981,0.006917,0.746151,0.665523,-0.006591,-0.017179
47,0.47,0.010987,-0.012993000000000001,0.006917,0.7461369999999999,0.665542,-0.006451,-0.017084000000000002
48,0.48,0.010976999999999999,-0.013003,0.006915,0.7461479999999999,0.665533,-0.006305,-0.016992
49,0.49,0.010962000000000001,-0.013013999999999998,0.006911,0.746183,0.6654979999999999,-0.0061649999999999995,-0.016888999999999998
50,0.5,0.010942,-0.013025,0.006906,0.7462449999999999,0.665432,-0.006039,-0.016789
51,0.51,0.010917,-0.013037,0.0068980000000000005,0.746306,0.6653680000000001,-0.005925,-0.01669
52,0.52,0.010884999999999999,-0.01305,0.00689,0.746354,0.6653180000000001,-0.005818,-0.016569999999999998
53,0.53,0.010846,-0.013064,0.006883,0.746383,0.6652899999999999,-0.0057,-0.016424
54,0.54,0.010812,-0.013075,0.00688,0.746398,0.665277,-0.005555,-0.016261
55,0.55,0.010786,-0.013082,0.006881,0.7464069999999999,0.665275,-0.005369,-0.016065
56,0.56,0.010758,-0.013087,0.006884,0.746406,0.6652819999999999,-0.005164,-0.015841
57,0.57,0.010731000000000001,-0.013090000000000001,0.006886,0.746408,0.665287,-0.004956,-0.015621000000000001
58,0.58,0.010704,-0.013088999999999998,0.006887000000000001,0.746421,0.665279,-0.004787,-0.015401
59,0.59,0.010681,-0.013087,0.006887000000000001,0.746445,0.665257,-0.004637,-0.015197
60,0.6,0.010661,-0.013083000000000001,0.006886,0.746479,0.6652239999999999,-0.0045130000000000005,-0.015019999999999999
61,0.61,0.010642,-0.013077000000000002,0.006883,0.7465109999999999,0.665193,-0.004418,-0.01485
62,0.62,0.010624,-0.013068000000000001,0.0068790000000000006,0.746544,0.6651600000000001,-0.004339,-0.014688
63,0.63,0.010607,-0.013058000000000002,0.006876,0.746567,0.665138,-0.0042710000000000005,-0.014527000000000002
64,0.64,0.010592,-0.013043,0.006873000000000001,0.746578,0.665129,-0.004208,-0.014368
65,0.65,0.010579999999999999,-0.013022,0.006873000000000001,0.7465890000000001,0.665121,-0.004146,-0.014221000000000001
66,0.66,0.010567,-0.01299,0.006875,0.7466010000000001,0.665111,-0.0040869999999999995,-0.014094
67,0.67,0.010553,-0.012938999999999999,0.006881,0.746629,0.665082,-0.004019,-0.013987999999999999
68,0.68,0.010536,-0.012863999999999999,0.0068920000000000006,0.746668,0.66504,-0.003941,-0.013897999999999999
69,0.69,0.010518000000000001,-0.012765,0.006906999999999999,0.746721,0.664984,-0.003826,-0.013805000000000001
70,0.7,0.010496,-0.012648000000000001,0.006926000000000001,0.74678,0.66492,-0.003676,-0.013701
71,0.71,0.01047,-0.012516,0.006948,0.74683,0.664867,-0.0034950000000000003,-0.013584
72,0.72,0.010440999999999999,-0.012376,0.006973,0.746869,0.6648270000000001,-0.0033179999999999998,-0.013472999999999999
73,0.73,0.010413,-0.012231,0.007005,0.746889,0.664806,-0.00317,-0.013373
74,0.74,0.010381,-0.012051000000000001,0.007037000000000001,0.7469060000000001,0.66479,-0.003054,-0.013294
75,0.75,0.010348,-0.011843000000000001,0.00707,0.7469180000000001,0.664778,-0.002972,-0.013246
76,0.76,0.010324,-0.011644,0.0071129999999999995,0.746917,0.66478,-0.002885,-0.013213999999999998
77,0.77,0.01031,-0.011476,0.007157999999999999,0.746875,0.664828,-0.002768,-0.013172
78,0.78,0.010302,-0.011349,0.007198,0.746808,0.664906,-0.0026149999999999997,-0.013097999999999999
79,0.79,0.010298,-0.011257,0.007228,0.746732,0.6649930000000001,-0.002432,-0.012993000000000001
80,0.8,0.010295,-0.011191,0.007248999999999999,0.7466619999999999,0.665075,-0.002229,-0.012863
81,0.81,0.010292,-0.01114,0.0072629999999999995,0.746604,0.665144,-0.001998,-0.012716
82,0.82,0.010286,-0.011097,0.007271,0.746567,0.66519,-0.0017519999999999999,-0.012559
83,0.83,0.010275,-0.011053,0.007273999999999999,0.7465390000000001,0.6652239999999999,-0.001468,-0.012386
84,0.84,0.010256999999999999,-0.011002,0.007272,0.7465310000000001,0.665238,-0.001155,-0.012209999999999999
85,0.85,0.010223999999999999,-0.010946,0.0072510000000000005,0.7465189999999999,0.665255,-0.000794,-0.012019
86,0.86,0.010176000000000001,-0.010868000000000001,0.007220999999999999,0.746522,0.665255,-0.00042,-0.011822
87,0.87,0.010117000000000001,-0.010768000000000002,0.007181,0.74655,0.665227,-8.1e-05,-0.011641
88,0.88,0.01005,-0.010646,0.007135,0.746603,0.665171,0.00020299999999999997,-0.01149
89,0.89,0.009986,-0.01051,0.007086,0.746663,0.6651050000000001,0.00043200000000000004,-0.011364
90,0.9,0.009931,-0.010368,0.0070409999999999995,0.746722,0.66504,0.0006219999999999999,-0.011262000000000001
