,ts,px,py,pz,rw,rx,ry,rz
0,0.0,0.07774,0.10709,-0.129387,0.920041,0.391594,-0.005304,-0.012315000000000001
1,0.01,0.077947,0.10739000000000001,-0.129722,0.91996,0.39178,-0.005343,-0.012361
2,0.02,0.07815599999999999,0.1077,-0.130064,0.919868,0.391998,-0.005289,-0.012329999999999999
3,0.03,0.078368,0.10802300000000001,-0.130415,0.919797,0.39217199999999997,-0.005136,-0.012212
4,0.04,0.078582,0.108358,-0.130778,0.919767,0.39224899999999996,-0.004907,-0.012029
5,0.05,0.078801,0.10870999999999999,-0.131157,0.9197879999999999,0.39221100000000003,-0.004666,-0.011819
6,0.06,0.07902,0.10907,-0.131546,0.9198569999999999,0.392054,-0.004478,-0.011674
7,0.07,0.079238,0.10943199999999999,-0.131943,0.919942,0.391857,-0.004423,-0.011622
8,0.08,0.079454,0.10978900000000001,-0.132347,0.920024,0.391663,-0.004514,-0.011685
9,0.09,0.079669,0.11013900000000001,-0.13275599999999999,0.920074,0.39153699999999997,-0.004711,-0.011835
10,0.1,0.07986900000000001,0.110464,-0.133123,0.9200790000000001,0.391517,-0.004951,-0.011995
11,0.11,0.080059,0.110773,-0.13345,0.920049,0.39158200000000004,-0.005104999999999999,-0.012111
12,0.12,0.08025399999999999,0.11108399999999999,-0.133784,0.92,0.391696,-0.005069,-0.012144
13,0.13,0.080457,0.111402,-0.134122,0.9199510000000001,0.39181900000000003,-0.004767,-0.01207
14,0.14,0.080675,0.111733,-0.134468,0.919924,0.391893,-0.004262,-0.011931
15,0.15,0.08090399999999999,0.112072,-0.134819,0.9199360000000001,0.391872,-0.00372,-0.011835
16,0.16,0.08114,0.112418,-0.135174,0.9199950000000001,0.391737,-0.003286,-0.011828
17,0.17,0.081376,0.112766,-0.135527,0.92009,0.391514,-0.003038,-0.011925
18,0.18,0.081608,0.113114,-0.135878,0.920213,0.391219,-0.003008,-0.012104
19,0.19,0.081833,0.11346300000000001,-0.136223,0.9203459999999999,0.390897,-0.003195,-0.012334999999999999
20,0.2,0.082054,0.113749,-0.136494,0.9204700000000001,0.390596,-0.00349,-0.012556
21,0.21,0.082275,0.113973,-0.13669,0.920582,0.390325,-0.003774,-0.012695999999999999
22,0.22,0.082492,0.114201,-0.136876,0.920687,0.390074,-0.003954999999999999,-0.012737
23,0.23,0.082709,0.114434,-0.137051,0.920782,0.389852,-0.00398,-0.01267
24,0.24,0.082924,0.114666,-0.137217,0.9208569999999999,0.389681,-0.003871,-0.012512
25,0.25,0.08314099999999999,0.11489500000000001,-0.137373,0.920905,0.389577,-0.003662,-0.012295
26,0.26,0.083357,0.11511800000000001,-0.137518,0.9209360000000001,0.389511,-0.003428,-0.012098000000000001
27,0.27,0.08357300000000001,0.115329,-0.137649,0.92095,0.38948499999999997,-0.0032159999999999997,-0.011969
28,0.28,0.083786,0.115527,-0.137764,0.9209459999999999,0.389495,-0.003114,-0.011901
29,0.29,0.083994,0.115711,-0.13786500000000002,0.920925,0.389545,-0.003144,-0.011892
30,0.3,0.084198,0.11588699999999999,-0.137956,0.9208780000000001,0.389654,-0.0032939999999999996,-0.011918000000000002
31,0.31,0.084402,0.11606099999999998,-0.13804,0.920808,0.389817,-0.0035189999999999996,-0.011970999999999999
32,0.32,0.084607,0.116228,-0.138113,0.9207270000000001,0.390005,-0.0037119999999999996,-0.012029
33,0.33,0.084814,0.116388,-0.138181,0.920645,0.390196,-0.003817,-0.012048
34,0.34,0.085025,0.116547,-0.138244,0.920566,0.390382,-0.003849,-0.012036
35,0.35,0.085236,0.116703,-0.13830599999999998,0.920494,0.390554,-0.0038299999999999996,-0.011999
36,0.36,0.085449,0.11685999999999999,-0.13836800000000002,0.920433,0.3907,-0.0038350000000000003,-0.01195
37,0.37,0.085664,0.11701800000000001,-0.138434,0.920385,0.390812,-0.003885,-0.01192
38,0.38,0.085881,0.117177,-0.138504,0.92035,0.390894,-0.003997,-0.011928
39,0.39,0.086104,0.11733900000000001,-0.13858,0.920319,0.390964,-0.004149,-0.011979
40,0.4,0.086326,0.117498,-0.138651,0.9202879999999999,0.391032,-0.004295,-0.012066
41,0.41,0.086556,0.11766199999999999,-0.138728,0.9202459999999999,0.39112600000000003,-0.004408,-0.012173999999999999
42,0.42,0.086791,0.117833,-0.13881300000000002,0.9201969999999999,0.39123800000000003,-0.004454,-0.012272
43,0.43,0.087031,0.118013,-0.138906,0.920141,0.391368,-0.0044020000000000005,-0.012343999999999999
44,0.44,0.087271,0.118202,-0.139011,0.920075,0.391522,-0.004285,-0.012387
45,0.45,0.087512,0.118406,-0.13913,0.9200020000000001,0.39169499999999996,-0.004139,-0.012398000000000001
46,0.46,0.087752,0.11862400000000001,-0.139266,0.919932,0.391863,-0.003953,-0.012366
47,0.47,0.087992,0.11885799999999999,-0.13942000000000002,0.919884,0.39198099999999997,-0.003691,-0.012295
48,0.48,0.088236,0.11911,-0.13959000000000002,0.919874,0.39200999999999997,-0.0033439999999999998,-0.012186
49,0.49,0.088486,0.119378,-0.139775,0.919904,0.391946,-0.002964,-0.012064
50,0.5,0.08873400000000001,0.119654,-0.139966,0.919967,0.391803,-0.0026190000000000002,-0.011966
51,0.51,0.088982,0.119931,-0.14015899999999998,0.920063,0.391584,-0.002314,-0.011895000000000001
52,0.52,0.089232,0.120206,-0.140353,0.920177,0.391316,-0.002094,-0.011889
53,0.53,0.08948400000000001,0.120476,-0.140544,0.920299,0.391027,-0.0019690000000000003,-0.011963
54,0.54,0.08973099999999999,0.12073699999999998,-0.140729,0.9204190000000001,0.390743,-0.001918,-0.012059
55,0.55,0.089972,0.12098800000000001,-0.140907,0.920535,0.390466,-0.0018989999999999999,-0.012148
56,0.56,0.09021,0.121233,-0.141075,0.920642,0.390212,-0.001887,-0.012205
57,0.57,0.09043999999999999,0.12147000000000001,-0.141231,0.920731,0.390002,-0.0018789999999999998,-0.012223999999999999
58,0.58,0.090664,0.121701,-0.141377,0.9208129999999999,0.389809,-0.0018559999999999998,-0.012176000000000001
59,0.59,0.09088500000000001,0.121928,-0.141516,0.9208860000000001,0.38964099999999996,-0.0018100000000000002,-0.012076
60,0.6,0.09110599999999999,0.122151,-0.141649,0.920957,0.38947600000000004,-0.001731,-0.011974
61,0.61,0.09132799999999999,0.122403,-0.141793,0.9210360000000001,0.389293,-0.001596,-0.011863
62,0.62,0.091556,0.122646,-0.141932,0.921121,0.38909299999999997,-0.001451,-0.011806
63,0.63,0.091789,0.122879,-0.14206300000000002,0.921198,0.388913,-0.001358,-0.011842
64,0.64,0.09202,0.123096,-0.142184,0.9212549999999999,0.38877399999999995,-0.001324,-0.011921
65,0.65,0.09224600000000001,0.123296,-0.142294,0.9212809999999999,0.38871,-0.001348,-0.012006999999999999
66,0.66,0.09246599999999999,0.123481,-0.14238800000000001,0.92127,0.388734,-0.001411,-0.012083
67,0.67,0.092683,0.123654,-0.142468,0.921227,0.388835,-0.001485,-0.012117000000000001
68,0.68,0.09289800000000001,0.123821,-0.142536,0.921167,0.388977,-0.001533,-0.0121
69,0.69,0.093115,0.12398699999999999,-0.142595,0.921104,0.38912800000000003,-0.001549,-0.01205
70,0.7,0.093322,0.12414800000000001,-0.14264000000000002,0.921047,0.389264,-0.001521,-0.012010999999999999
71,0.71,0.093532,0.12431500000000001,-0.14268699999999998,0.92101,0.38935,-0.001478,-0.011996
72,0.72,0.09374299999999999,0.12448699999999999,-0.142738,0.9209959999999999,0.389385,-0.0014269999999999999,-0.012024
73,0.73,0.093954,0.124669,-0.142795,0.9210010000000001,0.38937,-0.001376,-0.012076
74,0.74,0.09416000000000001,0.124859,-0.14285599999999998,0.921025,0.389313,-0.001355,-0.01214
75,0.75,0.09435700000000001,0.125057,-0.142921,0.921064,0.389217,-0.001349,-0.012179
76,0.76,0.094545,0.12525899999999998,-0.14298699999999998,0.921114,0.3891,-0.001363,-0.012182
77,0.77,0.094726,0.12546400000000002,-0.143054,0.9211719999999999,0.388964,-0.001387,-0.012155
78,0.78,0.09490599999999999,0.125671,-0.143118,0.92122,0.388851,-0.001391,-0.012095
79,0.79,0.095086,0.125873,-0.143178,0.921248,0.388786,-0.001371,-0.012034999999999999
80,0.8,0.09527000000000001,0.126067,-0.143232,0.9212520000000001,0.388778,-0.001322,-0.011982
81,0.81,0.095447,0.126251,-0.14327,0.921222,0.388852,-0.0012640000000000001,-0.011942
82,0.82,0.095631,0.126423,-0.14330199999999998,0.921158,0.38900500000000005,-0.0012029999999999999,-0.011931
83,0.83,0.095824,0.126588,-0.143331,0.921069,0.38921300000000003,-0.001144,-0.011951999999999999
84,0.84,0.096024,0.126747,-0.14336300000000002,0.9209790000000001,0.389426,-0.001084,-0.011974
85,0.85,0.096231,0.126909,-0.1434,0.920903,0.38960500000000003,-0.001048,-0.012015000000000001
86,0.86,0.096442,0.127077,-0.14344,0.920855,0.389718,-0.001023,-0.012037
87,0.87,0.096657,0.127252,-0.143488,0.920849,0.389733,-0.000987,-0.012024
88,0.88,0.096876,0.127434,-0.14354,0.9208860000000001,0.38964699999999997,-0.000962,-0.011976
89,0.89,0.097097,0.127619,-0.143596,0.920956,0.389484,-0.0009710000000000001,-0.011909000000000001
90,0.9,0.097319,0.127799,-0.143654,0.9210430000000001,0.389279,-0.001037,-0.011867
91,0.91,0.097535,0.127976,-0.143705,0.921125,0.38908400000000004,-0.001164,-0.011866
92,0.92,0.09775299999999999,0.128141,-0.14375,0.921176,0.38896,-0.001372,-0.011942
93,0.93,0.097974,0.12829100000000002,-0.143789,0.921192,0.388917,-0.0016640000000000001,-0.012098000000000001
94,0.94,0.098195,0.128429,-0.143822,0.921162,0.38898,-0.001945,-0.012262
95,0.95,0.098416,0.12856099999999998,-0.143849,0.9210959999999999,0.389133,-0.002106,-0.012374
96,0.96,0.098638,0.128693,-0.143871,0.921009,0.389339,-0.002091,-0.012391
97,0.97,0.098859,0.12883,-0.14389100000000002,0.9209149999999999,0.389565,-0.00195,-0.012303
98,0.98,0.099077,0.128974,-0.14391099999999998,0.920842,0.389743,-0.00173,-0.012140999999999999
99,0.99,0.09929199999999999,0.129127,-0.14393499999999998,0.920809,0.389827,-0.001529,-0.011963
100,1.0,0.099507,0.12928599999999998,-0.14396,0.920818,0.389811,-0.0014199999999999998,-0.011848000000000001
101,1.01,0.099716,0.12945299999999998,-0.143985,0.920855,0.389723,-0.00147,-0.011836
102,1.02,0.09992000000000001,0.129628,-0.144011,0.920899,0.38961599999999996,-0.001667,-0.011925
103,1.03,0.100124,0.129802,-0.144036,0.920941,0.38950999999999997,-0.001978,-0.012107999999999999
104,1.04,0.100325,0.129975,-0.14406,0.920967,0.38944,-0.002248,-0.012282
105,1.05,0.10052699999999999,0.130147,-0.14407999999999999,0.9209729999999999,0.389422,-0.002376,-0.012383
106,1.06,0.10073,0.13031800000000002,-0.144098,0.920954,0.389467,-0.0023309999999999997,-0.012385
107,1.07,0.10093300000000001,0.13048800000000002,-0.144109,0.9209120000000001,0.389571,-0.002133,-0.012313
108,1.08,0.101133,0.130657,-0.144117,0.920858,0.389702,-0.001847,-0.012183
109,1.09,0.101328,0.130826,-0.144124,0.9208040000000001,0.389836,-0.001557,-0.012039
110,1.1,0.10151900000000001,0.130996,-0.14413199999999998,0.9207629999999999,0.389937,-0.001349,-0.011937999999999999
111,1.11,0.10170499999999999,0.131167,-0.144144,0.920747,0.38997600000000004,-0.0012619999999999999,-0.011916
112,1.12,0.101869,0.13136099999999998,-0.144156,0.9207569999999999,0.389952,-0.00125,-0.011941
113,1.13,0.102025,0.131555,-0.144172,0.9207850000000001,0.389886,-0.0012900000000000001,-0.011967
