,ts,ax,ay,az,wx,wy,wz
0,0.0,0.017093,-0.009654999999999995,-0.019911,0.032303,-0.019058000000000002,-0.010071
1,0.01,0.026662,0.059497,-0.14141099999999998,0.044022000000000006,0.0011750000000000007,-0.006866
2,0.02,0.019445,0.014227000000000004,-0.18251099999999998,0.041885000000000006,0.029938,0.002716
3,0.03,0.025795,-0.0020009999999999997,-0.242389,0.025908999999999998,0.054443,0.008041
4,0.04,0.036499000000000004,-0.0071319999999999995,-0.17693699999999998,0.0014040000000000025,0.06723,0.014435
5,0.05,0.010376,-0.02661,-0.15759,-0.026291000000000002,0.060837,0.015503
6,0.06,-0.018124,-0.067259,-0.064596,-0.042267,0.032074,0.010178
7,0.07,-0.032433,-0.119782,0.028626,-0.045471,-0.004149999999999999,-0.0004730000000000003
8,0.08,-0.042111,-0.08027000000000001,0.089173,-0.03801,-0.039307,-0.007935
9,0.09,-0.030594,-0.074253,0.056604999999999996,-0.01564,-0.059539999999999996,-0.012192
10,0.1,0.014318,-0.058247,-0.020837,0.002472,-0.053146000000000006,-0.011139
11,0.11,0.062688,-0.019868,-0.069088,0.018448,-0.021194,-0.010071
12,0.12,0.11734100000000001,0.019078,-0.0951,0.024841,0.033142000000000005,-0.010071
13,0.13,0.14157,0.055697,-0.11868499999999998,0.011002,0.094925,-0.014328
14,0.14,0.09719,0.018047,-0.088862,-0.00499,0.116226,-0.022841999999999998
15,0.15,0.075907,0.017678,-0.057666999999999996,-0.018829,0.10131799999999999,-0.029236
16,0.16,-0.019827,0.01376,0.030679,-0.041199,0.061904999999999995,-0.034561
17,0.17,-0.072811,0.014096000000000001,0.045359,-0.058242999999999996,0.016097999999999998,-0.037766
18,0.18,-0.11174599999999997,0.066261,0.085539,-0.069962,-0.033981,-0.031372000000000004
19,0.19,-0.113347,0.07461,0.090416,-0.07103,-0.072327,-0.023911
20,0.2,-0.102064,0.067312,0.057426,-0.068893,-0.079788,-0.01326
21,0.21,-0.034822000000000006,0.133214,0.039425999999999996,-0.064636,-0.058472,0.0005800000000000003
22,0.22,-0.014584999999999999,0.09654,0.058830999999999994,-0.058242999999999996,-0.023314999999999995,0.009109
23,0.23,-0.015596,0.05575700000000001,0.071866,-0.050797,0.016097999999999998,0.017624
24,0.24,0.015323,0.033899,0.104344,-0.035873,0.042725,0.020828
25,0.25,-0.0014540000000000006,0.024503,0.132115,-0.024155000000000003,0.059769,0.022964
26,0.26,-0.008698000000000001,0.0016560000000000012,0.205198,-0.016708,0.053375,0.010178
27,0.27,-0.057626,0.0098,0.223786,-0.003922,0.039536,0.004852
28,0.28,-0.073179,-0.011363,0.230106,0.005676,0.008636000000000001,0.004852
29,0.29,-0.066441,-0.020153000000000004,0.21773499999999998,0.01738,-0.01799,0.004852
30,0.3,-0.00826,0.046248000000000004,0.162395,0.031235000000000002,-0.042496,0.009109
31,0.31,0.022940000000000002,0.017234,0.12526500000000002,0.039764,-0.051025,0.0037840000000000005
32,0.32,0.015049000000000002,-0.016988,0.048742,0.042953,-0.032913,0.00592
33,0.33,0.034063,0.005215999999999999,0.029463999999999997,0.040817,-0.011612,0.0037840000000000005
34,0.34,0.0033679999999999995,-0.019619,-0.003582,0.041885000000000006,0.002243000000000001,0.004852
35,0.35,0.000425,-0.021488,-0.043569,0.034424,0.0065,0.006973
36,0.36,0.034033,-0.033349000000000004,-0.071628,0.028045999999999998,-0.003082,0.011245999999999999
37,0.37,-0.0027300000000000002,-0.039642000000000004,-0.05393099999999999,0.020584,-0.013733,0.008041
38,0.38,0.059191999999999995,-0.042448,-0.090145,0.016327,-0.029708999999999996,0.00592
39,0.39,0.055800999999999996,-0.034479,-0.085073,0.015259,-0.036101999999999995,-0.0004729999999999994
40,0.4,0.086617,-0.005507,-0.11196700000000001,0.019516,-0.035033999999999996,-0.007935
41,0.41,0.054590999999999994,-0.016751,-0.14413399999999998,0.021652,-0.025452000000000002,-0.012192
42,0.42,0.027386,-0.0027890000000000002,-0.155316,0.026978,-0.007339,-0.015396
43,0.43,-0.009585,-0.038377999999999995,-0.206325,0.031235000000000002,0.013962000000000002,-0.017516999999999998
44,0.44,-0.025861,-0.005771,-0.249063,0.035492,0.023544,-0.016464
45,0.45,-0.051289999999999995,-0.039991000000000006,-0.261928,0.038696,0.031006,-0.010071
46,0.46,0.014982999999999991,-0.030441000000000003,-0.28459,0.032303,0.044861,-0.006866
47,0.47,0.044225,0.003556,-0.291586,0.015259,0.065094,-0.007935
48,0.48,0.050325,0.012969999999999999,-0.22948400000000002,-0.0060420000000000005,0.08320599999999999,-0.005797999999999999
49,0.49,0.013882,-0.025481,-0.163606,-0.024155000000000003,0.07788099999999999,-0.009003
50,0.5,0.027672,-0.026962,-0.06954099999999999,-0.045471,0.06723,-0.015396
51,0.51,0.027632999999999998,-0.013269999999999999,0.027816000000000004,-0.061447,0.053375,-0.019653
52,0.52,-0.034147000000000004,-0.051362,0.10025,-0.064636,0.027817,-0.022841999999999998
53,0.53,-0.060247,-0.028551999999999998,0.153448,-0.061447,0.006499999999999999,-0.02179
54,0.54,-0.080403,-0.034115,0.15295599999999998,-0.062515,-0.003082,-0.019653
55,0.55,-0.088528,0.039747000000000005,0.156873,-0.059311,-0.005219,-0.01326
56,0.56,-0.07488099999999999,0.046844,0.150383,-0.050797,-0.002014,-0.007935
57,0.57,-0.087647,0.024858,0.11693900000000002,-0.044403,0.0022429999999999998,0.0005800000000000003
58,0.58,-0.039139,0.0024600000000000004,0.090137,-0.040131,0.011826,0.013366999999999999
59,0.59,0.028458000000000008,0.0033289999999999986,0.074335,-0.034805,0.018219,0.015503
60,0.6,0.063583,-0.033711,0.06902,-0.041199,0.026749000000000002,0.010178
61,0.61,0.064677,-0.034914,0.09829600000000001,-0.046524,0.031006,0.004852
62,0.62,0.036548000000000004,-0.029175,0.188776,-0.044403,0.023544,-0.007935
63,0.63,-0.033806,-0.068583,0.190156,-0.035873,0.005447,-0.017516999999999998
64,0.64,-0.103406,-0.013287,0.236344,-0.024155000000000003,-0.006270999999999999,-0.015396
65,0.65,-0.055143,-0.004795000000000001,0.250093,-0.00499,-0.016937,-0.01326
66,0.66,-0.044936000000000004,0.017184000000000005,0.18399000000000001,0.014191000000000004,-0.019058000000000002,-0.004745
