,ts,px,py,pz,rw,rx,ry,rz
0,0.0,0.073781,-0.169193,-0.04773,0.908559,0.417303,-0.007509999999999999,-0.017962
1,0.01,0.07395499999999999,-0.16953,-0.047907,0.908583,0.417258,-0.00743,-0.017808
2,0.02,0.07413099999999999,-0.16986500000000002,-0.048086000000000004,0.908623,0.417178,-0.007398,-0.017682
3,0.03,0.074312,-0.170202,-0.048268,0.9086620000000001,0.417092,-0.0074670000000000005,-0.017636000000000002
4,0.04,0.074495,-0.17055,-0.048451,0.9087049999999999,0.416993,-0.007626000000000001,-0.0177
5,0.05,0.07468,-0.170909,-0.048635000000000005,0.908752,0.41688100000000006,-0.007836,-0.017835
6,0.06,0.07487,-0.171273,-0.048819,0.908791,0.416786,-0.008062999999999999,-0.017991
7,0.07,0.075062,-0.17164000000000001,-0.049002,0.9088069999999999,0.41673999999999994,-0.008256999999999999,-0.018131
8,0.08,0.075254,-0.172009,-0.049184,0.908791,0.41677200000000003,-0.008342,-0.018194
9,0.09,0.075445,-0.172375,-0.049361,0.908739,0.41688800000000004,-0.008292,-0.018154
10,0.1,0.075636,-0.172742,-0.049535,0.908661,0.41706499999999996,-0.008184,-0.018027
11,0.11,0.07582799999999999,-0.17310799999999998,-0.049708999999999996,0.908576,0.41726,-0.008071,-0.017838999999999997
12,0.12,0.076024,-0.17347100000000001,-0.049885000000000006,0.9085030000000001,0.417429,-0.007982,-0.017641
13,0.13,0.076227,-0.17383099999999999,-0.050061,0.908466,0.417517,-0.007955,-0.017475
14,0.14,0.076428,-0.174181,-0.050242,0.908468,0.417516,-0.008024,-0.017385
15,0.15,0.07663099999999999,-0.174526,-0.050425,0.908499,0.417446,-0.008152,-0.017377
16,0.16,0.07683999999999999,-0.174877,-0.050608,0.908536,0.41736,-0.008317,-0.017433
17,0.17,0.077052,-0.175236,-0.050788,0.9085479999999999,0.417325,-0.008531,-0.017535
18,0.18,0.077267,-0.17560599999999998,-0.050968,0.9085219999999999,0.417371,-0.008786,-0.017687
19,0.19,0.07748300000000001,-0.175984,-0.05115,0.90846,0.417494,-0.009004999999999999,-0.017837000000000002
20,0.2,0.077699,-0.17636500000000002,-0.051334000000000005,0.908366,0.417688,-0.009188,-0.017979
21,0.21,0.077916,-0.17674600000000001,-0.051524,0.908256,0.41791999999999996,-0.009349,-0.018084
22,0.22,0.07813200000000001,-0.177122,-0.051722000000000004,0.9081549999999999,0.41813100000000003,-0.009528,-0.018168
23,0.23,0.078349,-0.177492,-0.051928999999999996,0.9080600000000001,0.41832600000000003,-0.009786,-0.018277
24,0.24,0.078567,-0.177853,-0.052149,0.9079879999999999,0.418469,-0.010069,-0.018422
25,0.25,0.078736,-0.17816400000000002,-0.052351,0.907959,0.41852,-0.01027,-0.018594
26,0.26,0.078912,-0.178464,-0.052565999999999995,0.907958,0.418513,-0.010328,-0.018772
27,0.27,0.07908899999999999,-0.178751,-0.052791,0.9079790000000001,0.41846300000000003,-0.010227,-0.0189
28,0.28,0.079266,-0.179032,-0.053022,0.908015,0.418389,-0.009978,-0.018949
29,0.29,0.079436,-0.179304,-0.053251,0.9080540000000001,0.418314,-0.009641,-0.018912
30,0.3,0.079597,-0.179577,-0.053475999999999996,0.908101,0.418224,-0.009322,-0.018821
31,0.31,0.079743,-0.17985,-0.053690999999999996,0.9081540000000001,0.41811800000000005,-0.009138,-0.018725
32,0.32,0.079875,-0.180128,-0.0539,0.908214,0.41799,-0.009149,-0.018650999999999997
