,ts,px,py,pz,rw,rx,ry,rz
0,0.0,-0.006856,-0.004101,0.00011100000000000001,0.9176040000000001,0.39717399999999997,-0.015993,0.000301
1,0.01,-0.006840000000000001,-0.004156,0.000113,0.917594,0.397185,-0.016261,0.000317
2,0.02,-0.00683,-0.004208,0.000118,0.9175459999999999,0.39728600000000003,-0.016516,0.00035800000000000003
3,0.03,-0.006825,-0.004251,0.000123,0.9174760000000001,0.397439,-0.016703,0.00040899999999999997
4,0.04,-0.0068189999999999995,-0.004286,0.000125,0.917409,0.397592,-0.016774,0.00047699999999999994
5,0.05,-0.006812,-0.004311,0.000126,0.9173610000000001,0.39770300000000003,-0.016774,0.000543
6,0.06,-0.006804999999999999,-0.0043289999999999995,0.000125,0.917343,0.397744,-0.016758000000000002,0.000593
7,0.07,-0.0067989999999999995,-0.004340999999999999,0.000122,0.9173629999999999,0.39769899999999997,-0.016745,0.000627
8,0.08,-0.006792,-0.00435,0.00011899999999999999,0.9174200000000001,0.397568,-0.016748,0.000676
9,0.09,-0.006784999999999999,-0.004359,0.00011399999999999999,0.91751,0.397358,-0.016763,0.0007019999999999999
10,0.1,-0.006778,-0.004367,0.00010700000000000001,0.917615,0.39711199999999997,-0.016853,0.0006580000000000001
11,0.11,-0.006770999999999999,-0.004376,0.0001,0.917723,0.396857,-0.017003,0.00055
12,0.12,-0.0067670000000000004,-0.004383,9.2e-05,0.9178149999999999,0.396636,-0.017168,0.000373
13,0.13,-0.0067659999999999994,-0.004389,8.4e-05,0.917881,0.396478,-0.017308,0.000172
14,0.14,-0.0067670000000000004,-0.0043950000000000005,7.7e-05,0.917902,0.396426,-0.017406,-1.4000000000000001e-05
15,0.15,-0.00677,-0.0044020000000000005,7.2e-05,0.9178639999999999,0.39651,-0.017456,-0.00014099999999999998
16,0.16,-0.006775,-0.004411,6.7e-05,0.917773,0.39672399999999997,-0.017424000000000002,-0.000162
17,0.17,-0.006786,-0.004423,6.3e-05,0.917641,0.39703099999999997,-0.017328,-6.500000000000001e-05
18,0.18,-0.006803,-0.004437,5.9999999999999995e-05,0.9174950000000001,0.397377,-0.017183,0.000122
19,0.19,-0.006828,-0.004451,5.7999999999999994e-05,0.917364,0.39768600000000004,-0.016983,0.000367
20,0.2,-0.0068650000000000004,-0.0044659999999999995,5.3e-05,0.9172600000000001,0.397934,-0.016793000000000002,0.000617
21,0.21,-0.006914,-0.004476,4.6e-05,0.9171940000000001,0.398092,-0.016659,0.000801
22,0.22,-0.006981,-0.004482,3.4e-05,0.917171,0.398146,-0.016595,0.000915
23,0.23,-0.007086,-0.004483,1.4999999999999999e-05,0.9172020000000001,0.398075,-0.016602000000000002,0.001011
24,0.24,-0.007233,-0.004471,-1.4999999999999999e-05,0.917269,0.397916,-0.016711,0.0010869999999999999
