,ts,px,py,pz,rw,rx,ry,rz
0,0.0,-0.019234,-0.013600999999999999,0.10195900000000001,0.7098260000000001,0.7036220000000001,0.025869999999999997,0.019833
1,0.01,-0.019204,-0.013427000000000001,0.10208400000000001,0.709883,0.7035680000000001,0.025824,0.019787
2,0.02,-0.019174,-0.013249,0.10220900000000001,0.7099449999999999,0.703508,0.025779000000000003,0.019746
3,0.03,-0.019147,-0.013071000000000001,0.10233400000000001,0.7099979999999999,0.703457,0.025736000000000002,0.019716
4,0.04,-0.019124000000000002,-0.012894,0.102459,0.710045,0.703411,0.025707999999999998,0.019698
5,0.05,-0.019106,-0.01272,0.102586,0.7100850000000001,0.703371,0.025700999999999998,0.019703000000000002
6,0.06,-0.019091999999999998,-0.012546999999999999,0.10271500000000001,0.710114,0.703341,0.025715,0.019707
7,0.07,-0.019081,-0.012378,0.102848,0.710133,0.70332,0.025748000000000004,0.019724000000000002
8,0.08,-0.01908,-0.012232999999999999,0.102975,0.710142,0.703309,0.0258,0.019756
9,0.09,-0.019083000000000003,-0.012088,0.103102,0.710144,0.703303,0.025863,0.019791
10,0.1,-0.019089,-0.011943,0.10323099999999999,0.7101390000000001,0.703303,0.025939999999999998,0.01985
11,0.11,-0.019096000000000002,-0.011798999999999999,0.10336400000000001,0.710125,0.7033119999999999,0.026022000000000003,0.019909
12,0.12,-0.019102,-0.011656,0.1035,0.710093,0.703341,0.0261,0.019971
13,0.13,-0.019106,-0.011515000000000001,0.10363699999999999,0.7100420000000001,0.703387,0.02617,0.020034
14,0.14,-0.019107,-0.011372,0.103777,0.709989,0.703436,0.026238,0.020091
15,0.15,-0.019103,-0.011227,0.10391600000000001,0.70994,0.703483,0.026292000000000003,0.020144
16,0.16,-0.019096000000000002,-0.011075,0.104056,0.709896,0.7035239999999999,0.026333,0.020194
17,0.17,-0.019091999999999998,-0.010933,0.10418699999999999,0.709845,0.703573,0.026369999999999998,0.020238
18,0.18,-0.019091999999999998,-0.010798,0.10431099999999999,0.709801,0.703615,0.026407,0.020272
19,0.19,-0.019091999999999998,-0.010659,0.10443499999999999,0.709763,0.703651,0.026438999999999997,0.020296
20,0.2,-0.01909,-0.010516,0.104556,0.709737,0.703677,0.026465,0.020311000000000003
21,0.21,-0.019084999999999998,-0.010368,0.104675,0.709725,0.703688,0.026483,0.020313
22,0.22,-0.019077,-0.010218000000000001,0.10479200000000001,0.709726,0.703687,0.026488,0.020309
23,0.23,-0.019063999999999998,-0.010064,0.104907,0.709731,0.7036819999999999,0.026485,0.020299
24,0.24,-0.019047,-0.009907,0.105021,0.709733,0.703681,0.026483999999999997,0.020288999999999998
25,0.25,-0.019028,-0.009748999999999999,0.10513399999999999,0.709728,0.7036859999999999,0.026477999999999998,0.020277
26,0.26,-0.019006,-0.009593,0.105246,0.709713,0.703703,0.026458,0.020252000000000003
27,0.27,-0.01898,-0.009439,0.105359,0.7096899999999999,0.703727,0.026442,0.020228
28,0.28,-0.018969999999999997,-0.00935,0.10543399999999999,0.7096640000000001,0.703755,0.026418999999999998,0.020213
29,0.29,-0.018961000000000002,-0.009262000000000001,0.105512,0.709638,0.703782,0.026399000000000002,0.020201
30,0.3,-0.018952,-0.009170000000000001,0.10559400000000001,0.709607,0.703814,0.026381,0.020193
31,0.31,-0.018944,-0.009075,0.105682,0.7095779999999999,0.7038439999999999,0.026369999999999998,0.020181
32,0.32,-0.018936,-0.008981999999999999,0.10577,0.709546,0.7038770000000001,0.026372000000000003,0.020172
33,0.33,-0.018928,-0.008886,0.10585599999999999,0.709515,0.703908,0.026373,0.020163
34,0.34,-0.018919,-0.008784,0.10594400000000001,0.709489,0.7039340000000001,0.026369,0.020158000000000002
35,0.35,-0.018908,-0.008674,0.10603599999999999,0.709467,0.7039569999999999,0.026366000000000004,0.020152
36,0.36,-0.018897999999999998,-0.008556,0.10613199999999999,0.709447,0.703978,0.026351,0.020144
37,0.37,-0.018888,-0.00843,0.106232,0.709425,0.704001,0.026327999999999997,0.020131
38,0.38,-0.018888,-0.008365000000000001,0.106302,0.7094050000000001,0.704023,0.026295999999999996,0.020117
39,0.39,-0.018886,-0.008296,0.10637100000000001,0.70938,0.70405,0.026266,0.020099000000000002
40,0.4,-0.018883,-0.008226,0.10644,0.70936,0.704072,0.026239,0.020081
41,0.41,-0.01888,-0.008152,0.10650899999999999,0.7093470000000001,0.704086,0.026220999999999998,0.020066999999999998
42,0.42,-0.018876,-0.008073,0.10658,0.709339,0.704096,0.026193,0.020049
43,0.43,-0.018872999999999997,-0.007991,0.106653,0.709337,0.704099,0.026162,0.020028999999999998
44,0.44,-0.018869,-0.007906999999999999,0.10672899999999999,0.709333,0.704105,0.026119999999999997,0.020016
45,0.45,-0.018864,-0.00782,0.106807,0.709334,0.704106,0.026083999999999996,0.02
