,ts,ax,ay,az,wx,wy,wz
0,0.0,-0.015542999999999996,-0.0039010000000000017,-0.027756,-0.014877000000000001,-0.016449000000000002,0.0036009999999999996
1,0.01,-0.025806,-0.003836,-0.006506999999999999,-0.018066,-0.013244999999999998,-0.000656
2,0.02,-0.052845,-0.007234000000000002,0.026173000000000002,-0.015944999999999997,-0.014313,0.001465
3,0.03,-0.058743,0.01481,0.031293,-0.013809,-0.011124,0.0025329999999999997
4,0.04,-0.073304,0.030699,0.067531,-0.011687999999999999,-0.00473,0.0025329999999999997
5,0.05,-0.06589600000000001,0.014747999999999999,0.054776,-0.010620000000000001,0.0005949999999999999,0.001465
6,0.06,-0.026829000000000002,0.024923,0.060489,-0.004227000000000001,0.0037990000000000003,-0.0006560000000000001
7,0.07,-0.05622100000000001,0.013850999999999999,0.052051,-0.004227000000000001,0.010193,-0.0017239999999999998
8,0.08,-0.034454000000000005,0.011502999999999996,0.023452,-0.0010220000000000001,0.011245999999999999,-0.002792
9,0.09,-0.041714,0.006572,0.013466999999999998,3.0999999999999995e-05,0.016571000000000002,-0.0017240000000000005
10,0.1,-0.012460000000000002,0.049651999999999995,0.025689,0.001099,0.019775,-0.002792
11,0.11,-0.008055,0.019658,0.052417,0.005371,0.019775,-0.002792
12,0.12,0.028839,0.008105,0.05322999999999999,0.011748999999999999,0.018706999999999998,0.00039700000000000016
13,0.13,0.013922000000000006,0.003166999999999998,-0.008277,0.014953999999999999,0.017639,0.000397
14,0.14,0.055447,0.0053430000000000005,-0.019594999999999998,0.014953999999999999,0.016571000000000002,0.00039700000000000016
15,0.15,0.044407999999999996,-0.014781,-0.014702000000000002,0.012816999999999999,0.012314,0.0025329999999999997
16,0.16,0.029927999999999996,0.002749999999999999,-0.022147,0.012816999999999999,0.011245999999999999,0.0025329999999999997
17,0.17,0.015093,0.008687,-0.02561,0.014953999999999999,0.011245999999999999,0.0025329999999999997
18,0.18,-0.019706999999999995,-0.02043,-0.028654000000000002,0.011748999999999999,0.008057,0.000397
19,0.19,0.023225,-0.036058,-0.041429,0.009628,0.006989,-0.0006560000000000001
20,0.2,0.03578,-0.026059,-0.010551999999999999,0.006423999999999999,0.004868,0.00039700000000000016
21,0.21,0.037776,-0.032276,-0.009211,0.003235,-0.0004729999999999999,-0.0017239999999999998
22,0.22,0.041904000000000004,-0.026399000000000002,-0.023383,-0.0010219999999999997,-0.001526,-0.0006560000000000001
23,0.23,0.031799,-0.027874000000000003,0.009020000000000002,0.001099,-0.002594,-0.0006560000000000001
24,0.24,0.009338000000000004,-0.0014180000000000009,0.016864000000000004,0.002167,-0.001526,0.00039700000000000016
25,0.25,0.048913,-0.004256000000000001,0.057795000000000006,0.004303,-0.005797999999999999,-0.0006560000000000001
