,ts,px,py,pz,rw,rx,ry,rz
0,0.0,-0.013628999999999999,-0.079928,0.056749,0.940333,0.33955100000000005,-0.010976999999999999,0.018933000000000002
1,0.01,-0.01492,-0.078109,0.056679999999999994,0.94026,0.33979000000000004,-0.011334,0.01803
2,0.02,-0.016258,-0.07624199999999999,0.056608000000000006,0.9402440000000001,0.33986500000000003,-0.011795,0.017116
3,0.03,-0.017646000000000002,-0.074311,0.05653,0.9403030000000001,0.33973000000000003,-0.012348999999999999,0.016181
4,0.04,-0.019087,-0.072313,0.05645,0.940436,0.339383,-0.012985,0.015147
5,0.05,-0.020579,-0.070254,0.056374,0.9406260000000001,0.33887,-0.013835,0.014109
6,0.06,-0.022099,-0.06815,0.056317,0.940841,0.338271,-0.014862,0.013013
7,0.07,-0.023663,-0.065988,0.056290999999999994,0.941047,0.337686,-0.016069999999999997,0.011868
8,0.08,-0.025263,-0.063775,0.056302,0.941211,0.33720100000000003,-0.017397,0.010717
9,0.09,-0.026877999999999996,-0.061515999999999994,0.056344000000000005,0.9413219999999999,0.336851,-0.018792,0.009498999999999999
10,0.1,-0.028508999999999996,-0.059197,0.056415,0.9413870000000001,0.336629,-0.020113,0.008246999999999999
11,0.11,-0.03015,-0.056817999999999994,0.056503,0.941416,0.33650399999999997,-0.021246,0.00704
12,0.12,-0.031789,-0.054379,0.056599000000000003,0.941421,0.336455,-0.022146000000000002,0.005876
13,0.13,-0.033418,-0.051878,0.056692,0.941401,0.336484,-0.022806,0.004736
14,0.14,-0.035035000000000004,-0.049324,0.056786,0.941369,0.33655999999999997,-0.023203,0.003602
15,0.15,-0.036650999999999996,-0.046704,0.056880999999999994,0.9412959999999999,0.336767,-0.023306,0.002497
16,0.16,-0.038239999999999996,-0.044024,0.056961000000000005,0.941174,0.337122,-0.023201,0.001371
17,0.17,-0.039795,-0.041292,0.05702,0.941031,0.33753099999999997,-0.023072,0.00011899999999999999
