,ts,ax,ay,az,wx,wy,wz
0,0.0,-0.44501199999999996,0.247579,-0.146713,0.060927999999999996,-0.123932,-0.15007
1,0.01,-0.394721,0.251267,-0.224568,0.032166,-0.14416500000000002,-0.143677
2,0.02,-0.320083,0.290077,-0.274779,-0.008316,-0.164413,-0.13942000000000002
3,0.03,-0.29546500000000003,0.337036,-0.22923400000000002,-0.055191,-0.18145799999999998,-0.137283
4,0.04,-0.26405,0.326841,-0.11190399999999999,-0.098862,-0.21340900000000002,-0.137283
5,0.05,-0.214908,0.34062600000000004,-0.01533999999999999,-0.128693,-0.256027,-0.137283
6,0.06,-0.32834800000000003,0.529795,0.089279,-0.13508599999999998,-0.295441,-0.137283
7,0.07,-0.226336,0.441941,0.086073,-0.122299,-0.323135,-0.125565
8,0.08,-0.041842999999999984,0.447404,0.06257,-0.09567300000000001,-0.34976199999999996,-0.129822
9,0.09,-0.017688,0.45425,-0.0019320000000000032,-0.065842,-0.356155,-0.13942000000000002
10,0.1,-0.006807999999999998,0.390319,-0.093888,-0.040268,-0.326324,-0.15007
11,0.11,0.108412,0.33397,-0.214902,-0.022171,-0.280518,-0.154327
12,0.12,0.187555,0.281354,-0.269675,-0.00618,-0.23045300000000002,-0.166046
13,0.13,0.23907199999999998,0.233449,-0.304271,0.010864,-0.183578,-0.176697
14,0.14,0.190332,0.26349,-0.24994699999999997,0.034286000000000004,-0.11753800000000002,-0.190552
15,0.15,0.336068,0.20177,-0.356534,0.064117,-0.06854199999999999,-0.20971700000000001
16,0.16,0.34208,0.155406,-0.397225,0.076904,-0.05361900000000001,-0.23422199999999999
17,0.17,0.356577,0.200824,-0.5164979999999999,0.090759,-0.0728,-0.26298499999999997
18,0.18,0.323056,0.21841100000000002,-0.591112,0.099274,-0.103683,-0.289612
19,0.19,0.284354,0.305857,-0.630332,0.106735,-0.13458299999999998,-0.304535
20,0.2,0.24402800000000002,0.408208,-0.735954,0.12271099999999999,-0.165482,-0.29921
21,0.21,0.246013,0.467433,-0.885526,0.1259,-0.200623,-0.270447
22,0.22,0.377761,0.549046,-1.110052,0.108856,-0.204895,-0.231033
23,0.23,0.544825,0.563447,-1.320371,0.06304900000000001,-0.196365,-0.193741
24,0.24,0.623808,0.485756,-1.356738,-0.014709000000000003,-0.169739,-0.160721
25,0.25,0.74073,0.537752,-1.270766,-0.10418699999999999,-0.150558,-0.13942000000000002
26,0.26,0.797837,0.48600699999999997,-1.110324,-0.195801,-0.165482,-0.128769
27,0.27,0.793084,0.556164,-0.885241,-0.271439,-0.223007,-0.127701
28,0.28,0.736928,0.558629,-0.7184560000000001,-0.306595,-0.302902,-0.12344400000000001
29,0.29,0.679717,0.612977,-0.605913,-0.307663,-0.365738,-0.119171
30,0.3,0.550266,0.740402,-0.6210180000000001,-0.289551,-0.37959299999999996,-0.112778
31,0.31,0.44659899999999997,0.799596,-0.684349,-0.254395,-0.339111,-0.094681
32,0.32,0.35743400000000003,0.865825,-0.8434860000000001,-0.22776799999999997,-0.278397,-0.069107
33,0.33,0.304433,0.862038,-1.089011,-0.22244299999999997,-0.23152199999999998,-0.038208
34,0.34,0.408748,0.851665,-1.2422389999999999,-0.24267600000000003,-0.21340900000000002,-0.01265
35,0.35,0.536762,0.813609,-1.271656,-0.291672,-0.23045300000000002,-0.00946
36,0.36,0.659996,0.801951,-1.206352,-0.338547,-0.273071,-0.026505
37,0.37,0.756699,0.7746649999999999,-1.115466,-0.354523,-0.327393,-0.070175
38,0.38,0.702817,0.786658,-0.980325,-0.337479,-0.346573,-0.121307
39,0.39,0.665345,0.7972060000000001,-0.892093,-0.282089,-0.33699,-0.169235
40,0.4,0.5761970000000001,0.90125,-0.8344889999999999,-0.19261199999999998,-0.297562,-0.20652800000000002
41,0.41,0.470894,0.885567,-0.868122,-0.079697,-0.22512800000000002,-0.227829
42,0.42,0.347233,0.9680190000000001,-1.066285,0.027907999999999995,-0.139908,-0.22676100000000002
43,0.43,0.303174,1.004051,-1.2680200000000001,0.119522,-0.049362,-0.20652800000000002
44,0.44,0.24112199999999998,0.998108,-1.3640430000000001,0.178101,0.046508999999999995,-0.169235
45,0.45,0.285001,0.9829459999999999,-1.422532,0.21539299999999997,0.127472,-0.119171
46,0.46,0.311258,0.9413540000000001,-1.524704,0.240952,0.192459,-0.074432
47,0.47,0.306992,0.8424209999999999,-1.6534360000000001,0.238831,0.240387,-0.032882999999999996
48,0.48,0.29998600000000003,0.808696,-1.782978,0.202606,0.265961,-0.0019990000000000008
49,0.49,0.31900500000000004,0.755771,-1.785104,0.13761900000000002,0.275543,0.026764
50,0.5,0.26752800000000004,0.730758,-1.665648,0.06092800000000001,0.258499,0.048065
51,0.51,0.182703,0.676215,-1.66935,-0.01152,0.21269200000000002,0.065109
52,0.52,0.173923,0.6424979999999999,-1.557484,-0.090347,0.149841,0.085358
53,0.53,0.21716799999999997,0.602068,-1.436596,-0.163849,0.089127,0.09600800000000001
54,0.54,0.217692,0.5532050000000001,-1.385293,-0.22349499999999997,0.033722,0.09494
55,0.55,0.247795,0.510419,-1.284361,-0.276764,0.015625,0.08429
56,0.56,0.165157,0.527358,-1.1369799999999999,-0.310852,0.024138999999999997,0.069382
57,0.57,0.088502,0.542492,-0.927686,-0.330032,0.084854,0.067245
58,0.58,0.14846600000000001,0.5798220000000001,-0.663103,-0.326828,0.15623499999999998,0.065109
59,0.59,0.161908,0.617743,-0.376373,-0.29699699999999996,0.200974,0.056595000000000006
60,0.6,0.178398,0.766484,-0.141519,-0.260788,0.237198,0.040619
61,0.61,0.19395199999999999,0.8756799999999999,0.085229,-0.216049,0.25317399999999995,0.021439
62,0.62,0.186539,1.060542,0.24257199999999998,-0.173431,0.25531,0.0033260000000000013
63,0.63,0.239536,1.344077,0.40270700000000004,-0.142548,0.26915,-0.007324
64,0.64,0.42161400000000004,1.8344220000000002,0.645854,-0.090347,0.298981,-0.0030670000000000003
65,0.65,0.535868,2.157368,0.7868,-0.056259,0.33520500000000003,0.007599
66,0.66,0.5266649999999999,2.3433740000000003,0.786355,-0.027496,0.400177,0.034225
67,0.67,0.390484,2.3839650000000003,0.692955,-0.029617,0.515228,0.071503
68,0.68,0.23063899999999998,2.36305,0.587174,-0.096741,0.680344,0.122635
69,0.69,0.021190999999999998,2.2770200000000003,0.685142,-0.24693299999999999,0.831619,0.19081099999999998
70,0.7,-0.12216400000000001,2.004577,1.0576290000000002,-0.43868999999999997,0.887009,0.246216
71,0.71,-0.312325,1.681197,1.49832,-0.628296,0.797531,0.273911
72,0.72,-0.513744,1.333928,1.98482,-0.78064,0.6079100000000001,0.264313
73,0.73,-0.840659,1.151925,2.399491,-0.864792,0.368225,0.250473
74,0.74,-1.237251,0.865049,2.644217,-0.8967440000000001,0.127472,0.22384600000000002
75,0.75,-1.527532,0.729767,2.915332,-0.832825,-0.067474,0.23129299999999997
76,0.76,-1.7140490000000002,0.458118,2.8961330000000003,-0.705002,-0.161209,0.268585
77,0.77,-1.7426869999999999,0.160892,2.902653,-0.5164489999999999,-0.216614,0.32504299999999997
78,0.78,-1.537297,-0.013333000000000005,2.699605,-0.275696,-0.204895,0.384689
79,0.79,-1.2869329999999999,-0.16324,2.2325180000000002,-0.018967000000000008,-0.135651,0.43156400000000006
80,0.8,-1.043412,-0.278026,1.7379470000000001,0.221786,-0.023788000000000004,0.463531
81,0.81,-0.8231229999999999,-0.42581899999999995,1.117579,0.41566499999999995,0.130661,0.48908999999999997
82,0.82,-0.6130979999999999,-0.561528,0.54063,0.541367,0.293655,0.506134
83,0.83,-0.47399399999999997,-0.627844,0.048376999999999996,0.601013,0.443863,0.515717
84,0.84,-0.511332,-0.75945,-0.45785299999999995,0.599945,0.54718,0.521042
85,0.85,-0.541092,-0.884315,-0.8607,0.524323,0.581268,0.528503
86,0.86,-0.604071,-1.003209,-1.116074,0.398621,0.568497,0.538086
87,0.87,-0.660818,-1.191329,-1.3142340000000001,0.245209,0.523758,0.5412899999999999
88,0.88,-0.679707,-1.288832,-1.356411,0.093948,0.44705200000000006,0.5348970000000001
89,0.89,-0.707282,-1.384983,-1.3278780000000001,-0.044539999999999996,0.336258,0.5231779999999999
90,0.9,-0.62663,-1.3664020000000001,-1.327793,-0.15745499999999998,0.210556,0.5008090000000001
91,0.91,-0.562984,-1.340068,-1.386097,-0.24267600000000003,0.068878,0.47097799999999995
92,0.92,-0.401982,-1.227727,-1.410252,-0.30127,-0.063217,0.439026
93,0.93,-0.20688299999999998,-1.132728,-1.4645219999999999,-0.338547,-0.153763,0.393219
94,0.94,-0.076794,-1.031717,-1.504076,-0.338547,-0.18571500000000002,0.338882
