,ts,ax,ay,az,wx,wy,wz
0,0.0,-0.01227,-0.008307,0.0013699999999999995,0.009659000000000001,-0.029068,0.002853
1,0.01,0.005718000000000001,-0.023146,0.026126999999999997,0.009659000000000001,-0.031188999999999998,0.002853
2,0.02,-0.0008409999999999997,-0.028785,-0.018283,0.0064540000000000005,-0.030121,0.0017850000000000001
3,0.03,0.018598,-0.028232,0.030086,0.0032649999999999997,-0.026931999999999998,0.002853
4,0.04,0.017281,-0.0077,-0.017976,0.007523,-0.032257,-0.0003360000000000004
5,0.05,0.010662,0.006749000000000002,-0.015378,0.0054020000000000006,-0.031188999999999998,0.001785
6,0.06,0.007297999999999998,-0.015964,-0.02021,0.0064540000000000005,-0.032257,0.002853
7,0.07,0.0059039999999999995,-0.00028500000000000053,-0.042611,0.007523,-0.033325,0.002853
8,0.08,-0.026732,0.002060000000000001,-0.042652999999999996,0.008591,-0.034393,0.0017850000000000001
9,0.09,0.040596,-0.016599000000000003,-0.054847,0.01178,-0.033325,0.0017850000000000001
10,0.1,-0.0010350000000000012,-0.009939,-0.042922,0.009659000000000001,-0.033325,0.0017850000000000001
11,0.11,0.013212,0.00020500000000000032,-0.054213,0.0064540000000000005,-0.033325,0.0017850000000000001
12,0.12,0.027551999999999997,0.025667000000000002,-0.062684,0.0054020000000000006,-0.029068,-0.0014039999999999999
13,0.13,0.046158,-0.004691000000000001,-0.063303,0.004333,-0.034393,-0.00033599999999999993
14,0.14,0.039023,-0.008843,-0.069952,0.004333,-0.036514,0.000717
15,0.15,0.035718,-0.0077150000000000005,-0.052485000000000004,0.0032649999999999997,-0.032257,-0.0014039999999999999
16,0.16,0.037639,0.008806,-0.05457000000000001,0.004333,-0.037582,-0.0014039999999999999
17,0.17,0.058388,0.013584,-0.034744,0.0032649999999999997,-0.038651,0.000717
18,0.18,0.035067,0.041109,-0.00010299999999999893,6.100000000000029e-05,-0.040770999999999995,-0.0003360000000000004
19,0.19,0.021803,0.063264,0.004437999999999999,0.004333,-0.045044,0.002853
20,0.2,0.005680000000000001,0.07874199999999999,0.025417,0.007523,-0.041839999999999995,0.003922
21,0.21,0.028401999999999997,0.054634,0.073825,0.016052,-0.042908,0.002853
22,0.22,-0.052083000000000004,0.046218,0.050141999999999985,0.024567,-0.040770999999999995,0.002853
23,0.23,-0.041303,0.023709,0.030711000000000002,0.028824000000000002,-0.040770999999999995,0.001785
24,0.24,-0.052105,0.035841000000000005,0.040432,0.03096,-0.032257,0.002853
25,0.25,-0.033083999999999995,0.029343,0.08000299999999999,0.035217,-0.023727,0.003922
26,0.26,-0.086649,0.064458,0.067488,0.03949,-0.014145,0.002853
27,0.27,-0.094282,0.06516799999999999,0.11908000000000002,0.042679,-0.009888,0.007111
28,0.28,-0.108804,0.054049,0.046323,0.05014,-0.007751000000000001,0.006058
29,0.29,-0.093373,0.0034210000000000004,0.038049,0.05014,-0.004562,0.008179
30,0.3,-0.048833,-0.076014,-0.00013300000000000117,0.049072000000000005,0.005035,0.009247
31,0.31,-0.034384,-0.081758,-0.048885000000000005,0.03949,0.011414,0.007111
32,0.32,0.001230999999999996,-0.128728,-0.14533900000000002,0.03096,0.016738999999999997,0.007111
33,0.33,0.02375,-0.137309,-0.189622,0.016052,0.0242,0.006058
34,0.34,0.055046000000000005,-0.080735,-0.200727,0.0032650000000000005,0.022078999999999998,0.00499
35,0.35,0.068875,-0.069797,-0.178008,-0.007385000000000002,0.023132,0.0007169999999999998
36,0.36,0.078025,-0.055554,-0.124549,-0.018036,0.022078999999999998,-0.0003360000000000001
37,0.37,0.065138,-0.012981,-0.082669,-0.023361,0.019943000000000002,-0.002472
38,0.38,0.049479,-0.011845,-0.049754,-0.027634,0.017807,-0.002472
39,0.39,0.018414,0.026012,0.007073000000000003,-0.026566000000000003,0.016738999999999997,-0.002472
40,0.4,0.001966,0.043132,0.005721999999999999,-0.024429,0.015686000000000002,-0.00033599999999999993
41,0.41,-0.036133,0.026014999999999996,-0.0075869999999999965,-0.023361,0.015686000000000002,-0.004608
42,0.42,0.0037649999999999997,0.004207000000000001,-0.011126,-0.018036,0.014618,-0.0014040000000000005
43,0.43,0.012673,-0.02332,-0.0384,-0.021240000000000002,0.012482,-0.00033599999999999993
44,0.44,0.0051329999999999995,0.0005760000000000001,-0.040831999999999986,-0.024429,0.015686000000000002,-0.000336
45,0.45,0.007106000000000001,-0.047199,-0.047673,-0.030823000000000003,0.018875,-0.0014039999999999999
46,0.46,0.015489,0.010202000000000004,-0.012863,-0.032958999999999995,0.022078999999999998,-0.004608
47,0.47,-0.028262,0.011282999999999996,-0.029049000000000002,-0.03508,0.025269,-0.004608
48,0.48,-0.023446,0.020686000000000003,0.033349000000000004,-0.029755,0.027405000000000002,-0.005661
49,0.49,-0.041757999999999997,0.023717,0.055353999999999993,-0.024429,0.026337,-0.004608
50,0.5,-0.029644,0.027030000000000002,0.027620999999999996,-0.016983,0.028457999999999997,-0.0035399999999999997
51,0.51,-0.044242000000000004,0.05828,-0.022848,-0.015915000000000002,0.025269,0.000717
52,0.52,-0.00621,0.026009,-0.007113999999999999,-0.01059,0.026337,-0.0014039999999999999
53,0.53,-0.058542,0.049321,-0.062865,-0.007384999999999999,0.028457999999999997,0.0017850000000000001
54,0.54,0.005115999999999997,0.045522,-0.018777,-0.0052640000000000004,0.028457999999999997,0.003922
55,0.55,0.001065,0.0076359999999999996,-0.022612,-0.003128,0.033783,0.003922
56,0.56,0.053013,0.020073,-0.028551,-0.00206,0.034851,0.00499
57,0.57,0.036177,-0.010463000000000005,-0.023305000000000003,-0.003128,0.038055,-0.002472
