,ts,px,py,pz,rw,rx,ry,rz
0,0.0,-0.021808,0.003906,0.007451999999999999,0.652386,0.756915,-0.017828,0.033976
1,0.01,-0.02197,0.004176,0.0075840000000000005,0.652486,0.756829,-0.017856999999999998,0.03395
2,0.02,-0.022134,0.004454,0.007716,0.652597,0.756734,-0.017876,0.03393
3,0.03,-0.022297,0.004736,0.007847,0.652716,0.756632,-0.017891999999999998,0.033911000000000004
4,0.04,-0.022462,0.00502,0.007978,0.652845,0.756521,-0.017917,0.033888
5,0.05,-0.022628,0.005304,0.008108,0.6529739999999999,0.75641,-0.017937,0.033868
6,0.06,-0.022796,0.005589,0.008237999999999999,0.653091,0.756309,-0.017949,0.033858
7,0.07,-0.022965,0.005874,0.008368,0.653205,0.756211,-0.017965000000000002,0.033852999999999994
8,0.08,-0.023135,0.006161,0.0085,0.653319,0.756112,-0.017984,0.03385
9,0.09,-0.023305000000000003,0.00645,0.008633,0.6534310000000001,0.756015,-0.017993000000000002,0.033844
10,0.1,-0.0235,0.00674,0.008763,0.6535449999999999,0.755916,-0.017997,0.033839999999999995
11,0.11,-0.023694999999999997,0.007035,0.008893,0.653664,0.755814,-0.017993000000000002,0.033839
12,0.12,-0.023888999999999997,0.007334,0.009023999999999999,0.6537810000000001,0.7557119999999999,-0.017984,0.033842000000000004
13,0.13,-0.024083,0.007639,0.009156000000000001,0.653904,0.7556069999999999,-0.017977,0.033836
14,0.14,-0.024276,0.007948,0.009289,0.654033,0.755495,-0.017966,0.033825
15,0.15,-0.024468,0.008258,0.00942,0.654157,0.7553890000000001,-0.017961,0.033811
16,0.16,-0.024661000000000002,0.008572,0.00955,0.654278,0.755286,-0.017953999999999998,0.033793000000000004
17,0.17,-0.024857,0.008887,0.009681,0.654401,0.7551800000000001,-0.017946,0.033777999999999996
18,0.18,-0.025053,0.0092,0.009812000000000001,0.654518,0.755079,-0.017936,0.033766000000000004
19,0.19,-0.025249,0.009516,0.009947,0.6546350000000001,0.754979,-0.017922999999999998,0.033754
20,0.2,-0.025445,0.009829000000000001,0.010083,0.6547430000000001,0.754886,-0.017889,0.033749
21,0.21,-0.025649,0.010143000000000001,0.010221,0.654841,0.754801,-0.017859,0.033741
22,0.22,-0.025863,0.010458,0.01036,0.654938,0.7547189999999999,-0.017833,0.033737
23,0.23,-0.026081,0.010782,0.010501,0.65505,0.754622,-0.017807,0.033736
24,0.24,-0.0263,0.011116,0.010641,0.655185,0.754505,-0.017787,0.033736
25,0.25,-0.026521,0.011459,0.010782,0.655327,0.754382,-0.017757,0.033739
26,0.26,-0.026741,0.011804,0.010923,0.655471,0.754258,-0.017717,0.033749
27,0.27,-0.026963,0.012149,0.011065,0.65561,0.754137,-0.01768,0.033757
28,0.28,-0.027185,0.012499,0.011206,0.655755,0.754012,-0.017641999999999998,0.033769
29,0.29,-0.027408,0.012855000000000002,0.011347,0.6559149999999999,0.7538729999999999,-0.017605000000000003,0.033783
30,0.3,-0.027632,0.013212999999999999,0.011488,0.656076,0.753733,-0.017572,0.033799
31,0.31,-0.027855,0.013567,0.011625,0.656219,0.753609,-0.017549000000000002,0.033799
32,0.32,-0.028075,0.013913,0.011759,0.656334,0.753509,-0.017529,0.033801
33,0.33,-0.0283,0.014258000000000002,0.011895000000000001,0.6564180000000001,0.753436,-0.017506999999999998,0.033803
34,0.34,-0.028526,0.014603,0.012034,0.656489,0.753375,-0.017497,0.033802
35,0.35,-0.02875,0.01495,0.012173,0.6565449999999999,0.753326,-0.017477,0.033806
36,0.36,-0.028976,0.015302000000000001,0.012313,0.6566029999999999,0.7532760000000001,-0.017444,0.033816000000000006
37,0.37,-0.029204,0.015655000000000002,0.012454,0.656655,0.7532310000000001,-0.017406,0.033829000000000005
38,0.38,-0.029434,0.01601,0.012598,0.6566930000000001,0.7531979999999999,-0.01737,0.033846
39,0.39,-0.029668,0.016362,0.012745999999999999,0.656716,0.7531770000000001,-0.017327000000000002,0.03387
40,0.4,-0.029904000000000003,0.016711,0.012897,0.656726,0.753169,-0.017272,0.0339
41,0.41,-0.030144,0.017057,0.013046,0.656725,0.753169,-0.01721,0.033938
42,0.42,-0.030366000000000004,0.017378,0.013218,0.656716,0.7531760000000001,-0.017153,0.033979
43,0.43,-0.030592,0.017702000000000002,0.013387999999999999,0.6567029999999999,0.7531869999999999,-0.017098,0.034023000000000005
44,0.44,-0.030818,0.01803,0.013556,0.656684,0.753203,-0.017047,0.034067
45,0.45,-0.031047,0.018366,0.013722999999999999,0.656669,0.753215,-0.017006,0.03411
46,0.46,-0.031278,0.018709,0.013890000000000001,0.656658,0.753224,-0.016965,0.034151999999999995
47,0.47,-0.03151,0.019058000000000002,0.014059,0.6566569999999999,0.753224,-0.016932,0.034183
48,0.48,-0.031744999999999995,0.019412000000000002,0.014231,0.65666,0.753221,-0.016908000000000003,0.034196
49,0.49,-0.031981,0.019771,0.014403999999999998,0.656671,0.753212,-0.016884,0.034206
50,0.5,-0.032219,0.020133,0.014578,0.656683,0.753201,-0.016868,0.034217000000000004
51,0.51,-0.032451999999999995,0.020478,0.014762,0.656691,0.753195,-0.016847,0.034227999999999995
52,0.52,-0.032681,0.020801,0.014953999999999999,0.6566890000000001,0.753196,-0.016822,0.034247
53,0.53,-0.032912000000000004,0.021123,0.015144999999999999,0.656682,0.753202,-0.016797,0.034257
54,0.54,-0.033149,0.021444,0.015338,0.656663,0.753219,-0.016762,0.034276
55,0.55,-0.033388,0.021764,0.015531,0.656638,0.7532409999999999,-0.016730000000000002,0.034288
56,0.56,-0.033631,0.022080000000000002,0.015725,0.656604,0.75327,-0.016696000000000003,0.034309
57,0.57,-0.033879,0.022399000000000002,0.01592,0.6565770000000001,0.7532939999999999,-0.016656999999999998,0.034328
58,0.58,-0.03413,0.022719,0.016114,0.656557,0.753311,-0.016616,0.034351
59,0.59,-0.034387,0.023043,0.016309999999999998,0.6565380000000001,0.7533270000000001,-0.01658,0.034374
60,0.6,-0.034648000000000005,0.02337,0.016507,0.656516,0.753346,-0.016541999999999998,0.034394
61,0.61,-0.03486,0.023705,0.016685,0.656486,0.753372,-0.016512,0.03441
62,0.62,-0.035075,0.02404,0.016863999999999997,0.6564439999999999,0.753409,-0.016479,0.034421
63,0.63,-0.035295,0.024373,0.017044999999999998,0.656385,0.75346,-0.016447999999999997,0.034435
64,0.64,-0.035516000000000006,0.024701,0.017227000000000003,0.656325,0.753513,-0.016411000000000002,0.034451
65,0.65,-0.035742,0.02503,0.017412,0.656259,0.753571,-0.016368,0.03447
66,0.66,-0.03597,0.025356,0.017598,0.6562100000000001,0.753613,-0.01633,0.034489
67,0.67,-0.036201,0.025682,0.017785,0.656173,0.753645,-0.016284,0.034509
68,0.68,-0.036433999999999994,0.026005,0.017975,0.656146,0.7536689999999999,-0.01624,0.034518
69,0.69,-0.036670999999999995,0.026327,0.018168,0.656133,0.753681,-0.016196000000000002,0.034533
70,0.7,-0.036911,0.026643,0.018361000000000002,0.656119,0.753694,-0.016158000000000002,0.034531
71,0.71,-0.037153,0.026955,0.018556,0.656095,0.7537159999999999,-0.016122,0.03452
72,0.72,-0.037377,0.027249000000000002,0.018733,0.656091,0.753721,-0.016092,0.034501
73,0.73,-0.037582,0.027530000000000002,0.018890999999999998,0.656092,0.753721,-0.016071000000000002,0.034491
74,0.74,-0.037793,0.027819,0.019046,0.656111,0.7537050000000001,-0.016052,0.034483
75,0.75,-0.038007,0.028120999999999997,0.019193,0.656154,0.753668,-0.016041,0.034482
76,0.76,-0.038225,0.028442000000000002,0.019331,0.656239,0.753594,-0.016019,0.034497
77,0.77,-0.038445,0.028786000000000003,0.019456,0.656385,0.753466,-0.016005000000000002,0.034512
78,0.78,-0.038667,0.029151999999999997,0.019568000000000002,0.656593,0.753285,-0.015971,0.034533
79,0.79,-0.038891,0.029538,0.019672,0.656868,0.753045,-0.015915000000000002,0.034562
80,0.8,-0.039115,0.029937000000000002,0.019774,0.657175,0.752778,-0.015842,0.034587
81,0.81,-0.039332,0.030327,0.019868,0.657483,0.752509,-0.015750999999999998,0.03462
82,0.82,-0.039542,0.030698000000000003,0.019958,0.657758,0.752268,-0.015650999999999998,0.034658999999999995
83,0.83,-0.039760000000000004,0.031051,0.020054,0.657967,0.7520859999999999,-0.015538999999999999,0.034718
84,0.84,-0.039986,0.031379000000000004,0.020158000000000002,0.65809,0.7519779999999999,-0.015406,0.034793
85,0.85,-0.040218000000000004,0.031682999999999996,0.020269,0.658127,0.751944,-0.015238999999999999,0.034887
86,0.86,-0.040457,0.031974,0.020388999999999997,0.658104,0.751963,-0.015064,0.034985
87,0.87,-0.0407,0.032264,0.020516999999999997,0.658044,0.7520140000000001,-0.01489,0.035084
88,0.88,-0.040945,0.032561,0.02065,0.657992,0.752059,-0.014731999999999999,0.035181
89,0.89,-0.041188999999999996,0.032869999999999996,0.020786000000000002,0.6579510000000001,0.752093,-0.014584999999999999,0.035276999999999996
90,0.9,-0.041433,0.033188999999999996,0.020924,0.657926,0.752113,-0.014438999999999999,0.035366
91,0.91,-0.041673,0.033514999999999996,0.021063,0.657927,0.7521100000000001,-0.014311,0.035449
92,0.92,-0.041835000000000004,0.033780000000000004,0.021190999999999998,0.65794,0.752099,-0.014202000000000001,0.035512
93,0.93,-0.041992,0.034041,0.02132,0.657942,0.752096,-0.014121000000000002,0.035561
