,ts,ax,ay,az,wx,wy,wz
0,0.0,0.013047999999999995,0.023496,0.036699,0.022919,0.048431,0.0006410000000000001
1,0.01,0.022781,-0.001072,0.017669,0.028244,0.0495,-0.00148
2,0.02,0.027644,-0.006848999999999999,-0.011231000000000005,0.030364999999999996,0.045242000000000004,-0.003616
3,0.03,0.014847,-0.014802000000000001,-0.033054,0.032501,0.047363,-0.004684000000000001
4,0.04,0.028248000000000002,0.022752,-0.01645,0.033569,0.044174,-0.004684000000000001
5,0.05,0.033098,-0.028821,-0.009467,0.032501,0.039917,-0.002548
6,0.06,0.019313999999999998,-0.00881,0.011782000000000004,0.032501,0.036713,-0.000412
7,0.07,0.031491000000000005,0.009212999999999999,0.006925000000000001,0.034622,0.032455,-0.002548
8,0.08,0.030356,-0.0020680000000000004,0.048581,0.033569,0.028198,-0.000412
9,0.09,0.041616,0.035977999999999996,0.037219,0.03569,0.028198,-0.000412
10,0.1,0.031769,0.011961,0.0595,0.034622,0.026062000000000002,0.0006409999999999999
11,0.11,-0.017859000000000003,-0.007781000000000001,0.041864,0.039963,0.021805,-0.003616
12,0.12,0.041495,0.006962,0.048369999999999996,0.041016000000000004,0.022872999999999998,-0.003616
13,0.13,0.016769,-0.007158000000000001,0.056019000000000006,0.043151999999999996,0.019669,-0.002548
14,0.14,0.013586999999999998,-0.00036199999999999985,0.053980999999999994,0.042083999999999996,0.020737000000000002,-0.002548
15,0.15,0.025388,0.007572,0.050566,0.044219999999999995,0.016479,-0.003616
16,0.16,0.043066,0.003522,0.011849,0.043151999999999996,0.016479,-0.004684000000000001
17,0.17,0.016097,-0.0052250000000000005,0.06663,0.042083999999999996,0.013275,-0.003616
18,0.18,0.048614,-0.035808,0.06174400000000001,0.041016000000000004,0.012206999999999999,-0.003616
19,0.19,0.021351,-0.005126000000000002,0.059647000000000006,0.037827,0.011154,-0.002548
20,0.2,0.015480999999999996,-0.01997,0.050779000000000005,0.039963,0.00795,-0.004684000000000001
21,0.21,0.009506,-0.015909,0.051926,0.041016000000000004,0.003693,-0.00148
22,0.22,-0.008683999999999997,-0.016127000000000002,0.06185,0.037827,0.000488,0.001709
23,0.23,0.007686,-0.021461,0.042823,0.039963,0.000488,0.001709
24,0.24,0.010376999999999999,-0.023956,0.016835,0.036758,-0.006958,-0.000412
25,0.25,0.017103999999999998,-0.0016809999999999985,0.019678,0.037827,-0.006958,0.001709
26,0.26,0.009636,-0.016753999999999998,0.029817000000000003,0.038895,-0.009094,-0.000412
27,0.27,0.029526,-0.011525,0.031305,0.03569,-0.01123,0.004913
28,0.28,0.0016190000000000026,-0.059485,0.018123,0.033569,-0.009094,-0.0004119999999999996
29,0.29,0.022979,-0.05364,0.001523,0.031432999999999996,-0.009094,0.002777
30,0.3,-0.014697,-0.047706,-0.011281,0.023972,-0.01123,0.002777
31,0.31,0.001949,-0.06253,-0.055059000000000004,0.020782,-0.014419999999999999,0.002777
32,0.32,0.0003890000000000005,-0.060388,-0.039469,0.015456999999999999,-0.015488,0.002777
33,0.33,0.00601,-0.042755,-0.038583,0.0112,-0.015488,0.004913
34,0.34,0.014135000000000003,-0.025958999999999996,-0.037725999999999996,0.004807,-0.018677000000000003,0.0006410000000000001
35,0.35,0.014716,-0.027877999999999997,-0.016783000000000003,0.001602,-0.018677000000000003,0.001709
36,0.36,0.016268,-0.029720999999999997,-0.011314,-0.005843999999999999,-0.016556,0.000641
37,0.37,-0.010116,-0.0017910000000000011,-0.028277,-0.009048,-0.017609,0.001709
38,0.38,0.025428,-0.007697,-0.009998,-0.014374000000000001,-0.016556,-0.000412
39,0.39,0.005301,-0.028947000000000004,-0.033036,-0.018631,-0.014419999999999999,0.0017089999999999994
