,ts,ax,ay,az,wx,wy,wz
0,0.0,-0.017049,-0.021189,-0.075794,-0.0010529999999999997,0.012405,0.000763
1,0.01,0.027094999999999998,-0.024267,-0.141965,-0.003189,0.010284,0.005035
2,0.02,0.032106,-0.030911,-0.11842899999999999,-0.009583,0.004959000000000001,0.005035
3,0.03,0.024439,0.006433,-0.050898,-0.014908000000000001,0.0070799999999999995,0.006104
4,0.04,0.034642,0.055107,0.006286999999999999,-0.022369,0.011337,0.006104
5,0.05,-0.022371000000000002,0.044213999999999996,0.076182,-0.020233,0.012405,0.001831
6,0.06,0.01083,0.040465,0.1501,-0.014908000000000001,0.013474000000000002,0.002899
7,0.07,0.022571,0.036295999999999995,0.12626600000000002,-0.010651,0.012405,-0.002426
8,0.08,0.012185,-0.01155,0.053925,-0.011719,0.011337,-0.00029000000000000016
9,0.09,0.011979,-0.059333000000000004,0.040043,-0.011719,0.008148,-0.00029000000000000016
10,0.1,0.00532,-0.07269099999999999,-0.0050420000000000005,-0.01384,0.006012,-0.0013579999999999998
11,0.11,-0.004634,-0.063549,0.007075,-0.018097,0.004959000000000001,-0.002426
12,0.12,-0.016156999999999998,-0.025183,0.003053,-0.019165,0.0038909999999999995,-0.002426
13,0.13,-0.0010170000000000003,-0.040175999999999996,-0.051519,-0.021301,0.0038909999999999995,-0.0013579999999999998
14,0.14,-0.017457,0.02059,-0.047117,-0.025558,0.001755,-0.001358
15,0.15,0.008535,0.048862,-0.077815,-0.025558,0.004959000000000001,-0.0034939999999999997
16,0.16,0.009184999999999999,0.056046000000000006,-0.118176,-0.027694999999999997,0.008148,-0.002426
17,0.17,0.024585,0.047182,-0.150049,-0.027694999999999997,0.010284,-0.003494
18,0.18,-0.013209999999999998,-0.051996,-0.145714,-0.037277,0.013474000000000002,-0.005615
19,0.19,-0.043851999999999995,-0.11773199999999999,-0.088797,-0.047928,0.011337,-0.005615
20,0.2,-0.077562,-0.184701,-0.055553,-0.053252999999999995,0.006012,-0.005615
21,0.21,-0.11183299999999999,-0.227385,0.047599,-0.053252999999999995,0.004959000000000001,-0.005615
22,0.22,-0.134001,-0.106045,0.12237,-0.053252999999999995,0.012405,-0.002426
23,0.23,-0.196701,0.073823,0.158675,-0.053252999999999995,0.027327999999999998,-0.002426
24,0.24,-0.159389,0.159558,0.272692,-0.063904,0.039047000000000005,-0.004562
25,0.25,-0.056938,0.157079,0.44217,-0.060715,0.056090999999999995,-0.002426
26,0.26,0.008239999999999997,0.187227,0.482055,-0.053252999999999995,0.07206699999999999,-0.00882
27,0.27,0.057821000000000004,0.12876300000000002,0.300551,-0.038345,0.074188,-0.012009
28,0.28,0.089013,0.116221,0.132222,-0.03302,0.063538,-0.012009
29,0.29,0.05585,0.047664,0.011192,-0.034088,0.050751,-0.015212999999999999
30,0.3,0.069026,-0.034318,-0.14942,-0.034088,0.044373,-0.017334
31,0.31,0.048202999999999996,-0.111534,-0.198185,-0.031952,0.0401,-0.017334
32,0.32,0.066115,-0.110481,-0.177181,-0.029816000000000002,0.035843,-0.020538
33,0.33,0.036967,-0.067526,-0.197786,-0.023422,0.031586,-0.021606
34,0.34,0.057913,-0.058159,-0.166073,-0.026626999999999998,0.027327999999999998,-0.020538
35,0.35,0.068912,-0.07269400000000001,-0.13361800000000001,-0.029816000000000002,0.025192,-0.024796000000000002
36,0.36,0.042474,-0.109964,-0.129733,-0.026626999999999998,0.026260000000000002,-0.026931999999999998
37,0.37,-0.044342,-0.12266500000000001,-0.099378,-0.02449,0.026260000000000002,-0.031188999999999998
38,0.38,-0.047925,-0.112042,-0.24911,-0.020233,0.029449,-0.031188999999999998
39,0.39,-0.051380999999999996,-0.102654,-0.284391,-0.022369,0.030518,-0.032257
40,0.4,-0.091369,-0.050949,-0.374152,-0.031952,0.024124,-0.036514
41,0.41,-0.10638399999999999,0.032811000000000014,-0.380499,-0.04686,0.012405,-0.040770999999999995
42,0.42,-0.129277,0.108418,-0.30341999999999997,-0.061783000000000005,-0.00038099999999999934,-0.054626
43,0.43,-0.082969,0.21053000000000002,-0.21824200000000002,-0.063904,0.010284,-0.070602
44,0.44,-0.074848,0.263262,-0.240123,-0.042602999999999995,0.030518,-0.084457
45,0.45,-0.223465,0.228039,-0.372085,-0.019165,0.041168,-0.09404
46,0.46,-0.259902,0.16427,-0.509807,0.0010680000000000004,0.026260000000000002,-0.091904
47,0.47,-0.254567,0.130076,-0.5897439999999999,-0.001053,-0.003571000000000001,-0.083389
48,0.48,-0.180996,0.11451300000000002,-0.51685,-0.015976,-0.037659,-0.078064
49,0.49,-0.103447,0.073891,-0.34262800000000004,-0.023422,-0.06323200000000001,-0.078064
50,0.5,-0.119629,-0.010887000000000008,-0.209207,-0.019165,-0.074936,-0.080185
51,0.51,-0.192968,-0.064959,-0.14659,-0.0031889999999999987,-0.07067899999999999,-0.08125299999999999
52,0.52,-0.250793,-0.18456199999999998,-0.281523,0.011719,-0.061096000000000004,-0.087646
53,0.53,-0.27979499999999996,-0.249505,-0.5713729999999999,0.015991,-0.050446,-0.09404
54,0.54,-0.364239,-0.26719699999999996,-0.796357,-0.005325,-0.048309,-0.099365
55,0.55,-0.41405600000000004,-0.182838,-0.996475,-0.035141000000000006,-0.065353,-0.103622
56,0.56,-0.421756,-0.128689,-0.9752219999999999,-0.070297,-0.086655,-0.10255399999999999
57,0.57,-0.43805299999999997,-0.09808099999999999,-0.778471,-0.10119600000000001,-0.10903900000000001,-0.10575899999999999
58,0.58,-0.473263,-0.119575,-0.5443640000000001,-0.11398299999999999,-0.11969,-0.107895
59,0.59,-0.52891,-0.21507300000000001,-0.41105200000000003,-0.10865799999999999,-0.120743,-0.103622
60,0.6,-0.56155,-0.3049,-0.380711,-0.10759,-0.112228,-0.09829700000000001
61,0.61,-0.6009869999999999,-0.320878,-0.393018,-0.10865799999999999,-0.097321,-0.090836
62,0.62,-0.587842,-0.314639,-0.40425900000000003,-0.117172,-0.077072,-0.083389
63,0.63,-0.614387,-0.249827,-0.41380500000000003,-0.127823,-0.060028,-0.07486
64,0.64,-0.6111770000000001,-0.145677,-0.412358,-0.136353,-0.038727,-0.069534
65,0.65,-0.654467,-0.083582,-0.44604499999999997,-0.14593499999999998,-0.022751,-0.064209
66,0.66,-0.670692,-0.07176,-0.437487,-0.152328,-0.009964,-0.059952
67,0.67,-0.634934,0.038625000000000013,-0.49230799999999997,-0.157654,-0.00038100000000000026,-0.061020000000000005
68,0.68,-0.624687,0.079993,-0.509796,-0.160843,0.006012,-0.065277
69,0.69,-0.595083,0.036422,-0.626306,-0.166168,0.006012,-0.066345
70,0.7,-0.440296,-0.07338099999999999,-0.668139,-0.185349,0.004959000000000001,-0.064209
71,0.71,-0.324264,-0.196576,-0.647515,-0.200256,0.0006870000000000001,-0.062088
72,0.72,-0.18823800000000002,-0.262033,-0.667694,-0.21092199999999997,0.001755,-0.053558
73,0.73,-0.172656,-0.231055,-0.724954,-0.219437,-0.007828,-0.050369
74,0.74,-0.21957100000000002,-0.12248599999999998,-0.755195,-0.22583000000000003,-0.009964,-0.054626
75,0.75,-0.326559,-0.027337,-0.727008,-0.234344,-0.018478,-0.065277
76,0.76,-0.445175,-0.034061,-0.627011,-0.236481,-0.027007999999999997,-0.068466
77,0.77,-0.565225,-0.10038899999999999,-0.607387,-0.23222399999999999,-0.037659,-0.066345
78,0.78,-0.651241,-0.23038499999999998,-0.551025,-0.229019,-0.040848,-0.054626
79,0.79,-0.650691,-0.24333600000000002,-0.45526300000000003,-0.229019,-0.03447,-0.039702999999999995
80,0.8,-0.582515,-0.26027,-0.443254,-0.223694,-0.022751,-0.023727
81,0.81,-0.6347,-0.167697,-0.376618,-0.216248,-0.021683,-0.010956
82,0.82,-0.6396470000000001,-0.12657100000000002,-0.344079,-0.20771799999999999,-0.024872,0.0028989999999999997
